,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0,0.68,0.454,0.0,0.946,0.876,0.244,0.272,0.234,0.228,0.456,0.245,0.288,0.72,0.993,0.615,0.093,0.503,0.04,0.024,0.6,0.002,0.005,0.014864318682586619
1,0.777,0.587,0.001,0.97,0.952,0.256,0.299,0.277,0.104,0.485,0.147,0.222,0.434,0.995,0.672,0.129,0.575,0.007,0.005,0.727,0.0,0.001,-0.003848823840932614
2,0.71,0.499,0.003,0.975,0.948,0.266,0.313,0.273,0.125,0.48,0.153,0.305,0.391,0.993,0.598,0.054,0.521,0.007,0.006,0.778,0.0,0.0,-0.001370322768063864
3,0.877,0.652,0.038,0.997,0.982,0.275,0.335,0.308,0.121,0.486,0.183,0.251,0.457,0.997,0.578,0.039,0.523,0.005,0.003,0.6,0.0,0.0,-0.000882640035943675
4,0.827,0.622,0.0,0.99,0.965,0.276,0.339,0.311,0.084,0.484,0.122,0.252,0.427,0.997,0.592,0.053,0.527,0.006,0.004,0.667,0.0,0.0,-9.439465017613627e-05
5,0.816,0.52,0.024,0.861,0.738,0.258,0.319,0.278,0.091,0.483,0.148,0.305,0.368,0.983,0.688,0.144,0.634,0.011,0.007,0.667,0.0,0.0,0.0006569572159951215
6,0.937,0.836,0.002,0.998,0.997,0.302,0.403,0.371,0.138,0.49,0.225,0.4,0.464,1.0,0.504,0.001,0.499,0.0,0.0,0.667,0.0,0.0,0.0009132836429207006
7,0.872,0.68,0.158,0.998,0.986,0.295,0.374,0.349,0.159,0.485,0.253,0.398,0.488,0.998,0.577,0.049,0.523,0.004,0.002,0.5,0.0,0.0,0.004476555594885377
8,0.864,0.545,0.046,0.944,0.848,0.24,0.267,0.236,0.124,0.486,0.214,0.248,0.481,0.983,0.678,0.142,0.59,0.022,0.012,0.571,0.0,0.001,-0.00501199802257267
9,0.742,0.379,0.01,0.937,0.913,0.213,0.251,0.187,0.019,0.471,0.013,0.231,0.1,0.974,0.782,0.124,0.686,0.002,0.002,1.0,0.0,0.0,1.4926562365783838e-05
10,0.806,0.563,0.013,0.879,0.79,0.282,0.338,0.331,0.134,0.486,0.21,0.21,0.573,0.978,0.867,0.347,0.716,0.064,0.038,0.6,0.0,0.001,0.006335004337538126
11,0.657,0.329,0.0,0.893,0.651,0.22,0.247,0.196,0.059,0.467,0.102,0.2,0.356,0.972,0.823,0.192,0.687,0.024,0.016,0.636,0.0,0.0,0.0
12,0.729,0.409,0.005,0.781,0.685,0.234,0.278,0.25,0.046,0.464,0.072,0.155,0.26,0.962,0.662,0.11,0.572,0.006,0.004,0.625,0.0,0.0,0.00023669715435182485
13,0.513,0.277,0.0,0.676,0.541,0.148,0.167,0.1,0.023,0.46,0.03,0.094,0.148,0.954,0.596,0.083,0.561,0.006,0.004,0.625,0.0,0.0,5.062172783616933e-05
14,0.755,0.554,0.0,0.877,0.837,0.248,0.292,0.255,0.069,0.464,0.105,0.249,0.302,0.98,0.539,0.036,0.519,0.003,0.002,0.667,0.0,0.0,0.0016504740371444619
15,0.73,0.41,0.046,0.969,0.952,0.23,0.274,0.215,0.048,0.467,0.075,0.17,0.237,0.969,0.668,0.15,0.598,0.003,0.002,0.833,0.0,0.001,-0.001578796703512582
16,0.902,0.781,0.013,0.996,0.992,0.299,0.395,0.366,0.148,0.487,0.228,0.375,0.448,0.998,0.531,0.012,0.506,0.002,0.002,0.667,0.0,0.0,0.0009099058481603276
17,0.731,0.459,0.0,0.94,0.906,0.237,0.274,0.218,0.066,0.481,0.109,0.199,0.416,0.992,0.904,0.22,0.793,0.008,0.007,0.8,0.0,0.001,-0.002862894460082631
18,0.75,0.368,0.0,0.862,0.688,0.211,0.242,0.169,0.081,0.479,0.13,0.217,0.389,0.98,0.791,0.164,0.702,0.024,0.014,0.6,0.0,0.0,0.0
19,0.945,0.821,0.092,0.987,0.98,0.317,0.44,0.404,0.098,0.498,0.141,0.297,0.429,0.996,0.909,0.18,0.829,0.004,0.004,1.0,0.001,0.003,-0.006527287162791631
