,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0,0.657,0.407,0.0,0.949,0.867,0.217,0.238,0.221,0.209,0.462,0.208,0.226,0.667,0.991,0.617,0.093,0.526,0.038,0.023,0.6,0.0,0.0,0.0
1,0.762,0.563,0.001,0.976,0.958,0.249,0.281,0.237,0.1,0.48,0.138,0.238,0.42,0.994,0.67,0.13,0.565,0.007,0.005,0.727,0.0,0.0,0.0
2,0.578,0.344,0.003,0.952,0.914,0.243,0.27,0.218,0.078,0.461,0.097,0.191,0.313,0.987,0.631,0.076,0.517,0.007,0.006,0.778,0.0,0.0,0.0
3,0.862,0.599,0.038,0.996,0.982,0.264,0.313,0.287,0.092,0.482,0.196,0.235,0.436,0.997,0.583,0.043,0.52,0.005,0.003,0.6,0.0,0.0,0.0
4,0.733,0.473,0.0,0.99,0.968,0.242,0.276,0.233,0.069,0.473,0.098,0.189,0.366,0.995,0.602,0.069,0.526,0.006,0.004,0.733,0.0,0.0,0.0
5,0.844,0.513,0.024,0.861,0.744,0.269,0.34,0.3,0.077,0.481,0.133,0.258,0.321,0.981,0.694,0.145,0.638,0.011,0.007,0.667,0.0,0.0,0.0
6,0.923,0.796,0.002,0.999,0.998,0.294,0.385,0.356,0.123,0.488,0.204,0.377,0.422,1.0,0.503,0.001,0.501,0.0,0.0,0.667,0.0,0.0,0.0
7,0.892,0.694,0.158,0.998,0.99,0.291,0.372,0.336,0.158,0.487,0.245,0.372,0.467,0.997,0.568,0.042,0.53,0.003,0.002,0.5,0.0,0.0,0.0
8,0.782,0.407,0.046,0.943,0.82,0.194,0.209,0.222,0.101,0.472,0.161,0.18,0.386,0.972,0.691,0.151,0.582,0.022,0.013,0.571,0.0,0.0,0.0
9,0.651,0.271,0.01,0.937,0.913,0.147,0.154,0.11,0.01,0.456,0.01,0.143,0.056,0.965,0.768,0.108,0.668,0.002,0.002,0.857,0.0,0.0,0.0
10,0.822,0.54,0.013,0.888,0.719,0.29,0.356,0.338,0.131,0.488,0.262,0.262,0.6,0.976,0.857,0.357,0.722,0.062,0.038,0.6,0.0,0.0,0.0
11,0.503,0.229,0.0,0.893,0.647,0.186,0.184,0.118,0.062,0.442,0.104,0.142,0.318,0.965,0.829,0.218,0.687,0.024,0.016,0.636,0.0,0.0,0.0
12,0.709,0.392,0.005,0.775,0.685,0.247,0.295,0.222,0.039,0.459,0.064,0.148,0.224,0.959,0.685,0.115,0.573,0.006,0.004,0.625,0.0,0.0,0.0
13,0.483,0.265,0.0,0.678,0.579,0.12,0.129,0.093,0.014,0.447,0.02,0.066,0.103,0.937,0.557,0.058,0.508,0.006,0.004,0.625,0.0,0.0,0.0
14,0.689,0.468,0.0,0.878,0.839,0.222,0.251,0.215,0.064,0.451,0.1,0.229,0.278,0.98,0.54,0.038,0.525,0.003,0.002,0.667,0.0,0.0,0.0
15,0.727,0.391,0.046,0.969,0.947,0.221,0.266,0.202,0.043,0.463,0.067,0.173,0.213,0.967,0.662,0.135,0.597,0.003,0.002,0.667,0.0,0.0,0.0
16,0.91,0.791,0.013,0.997,0.993,0.295,0.386,0.376,0.139,0.488,0.212,0.357,0.432,0.997,0.534,0.014,0.508,0.002,0.002,0.667,0.0,0.0,0.0
17,0.73,0.461,0.0,0.94,0.908,0.229,0.263,0.212,0.061,0.481,0.105,0.177,0.384,0.991,0.901,0.212,0.789,0.009,0.007,0.8,0.0,0.0,0.0
18,0.629,0.264,0.0,0.862,0.652,0.141,0.147,0.097,0.063,0.458,0.097,0.152,0.278,0.967,0.806,0.167,0.71,0.024,0.014,0.6,0.0,0.0,0.0
19,0.941,0.814,0.092,0.986,0.982,0.297,0.394,0.393,0.087,0.495,0.142,0.272,0.414,0.995,0.912,0.182,0.868,0.005,0.005,1.0,0.0,0.0,0.0
20,0.587,0.262,0.005,0.885,0.678,0.163,0.168,0.109,0.05,0.465,0.082,0.12,0.325,0.975,0.886,0.255,0.781,0.019,0.014,0.75,0.0,0.0,0.0
21,0.847,0.462,0.014,0.791,0.639,0.202,0.239,0.191,0.02,0.476,0.178,0.272,0.328,0.971,0.762,0.155,0.682,0.009,0.004,0.444,0.0,0.0,0.0
22,0.926,0.559,0.0,0.915,0.72,0.224,0.243,0.241,0.061,0.485,0.095,0.18,0.278,0.97,0.805,0.11,0.748,0.016,0.013,0.833,0.0,0.0,0.0
23,0.873,0.693,0.103,0.983,0.961,0.297,0.374,0.335,0.187,0.49,0.315,0.286,0.64,0.991,0.94,0.296,0.873,0.015,0.015,1.0,0.0,0.0,0.0
24,0.791,0.516,0.001,0.982,0.954,0.228,0.253,0.19,0.106,0.482,0.153,0.221,0.427,0.981,0.86,0.186,0.739,0.02,0.014,0.727,0.0,0.0,0.0
25,0.82,0.544,0.023,0.976,0.953,0.24,0.285,0.237,0.085,0.485,0.113,0.263,0.259,0.99,0.881,0.177,0.81,0.005,0.004,0.833,0.0,0.0,0.0
26,0.89,0.58,0.0,0.899,0.846,0.26,0.319,0.326,0.065,0.488,0.097,0.178,0.299,0.965,0.823,0.107,0.739,0.027,0.017,0.625,0.0,0.0,0.0
27,0.752,0.501,0.149,0.956,0.935,0.235,0.276,0.226,0.116,0.483,0.203,0.182,0.479,0.985,0.907,0.219,0.809,0.021,0.018,0.857,0.0,0.0,0.0
28,0.662,0.265,0.04,0.908,0.86,0.165,0.165,0.132,0.045,0.464,0.069,0.124,0.232,0.983,0.866,0.199,0.742,0.005,0.004,0.875,0.0,0.0,0.0
29,0.713,0.504,0.013,0.934,0.825,0.255,0.321,0.238,0.139,0.483,0.219,0.281,0.464,0.981,0.898,0.162,0.829,0.02,0.02,1.0,0.0,0.0,0.0
30,0.669,0.285,0.0,0.666,0.52,0.062,0.048,0.016,0.003,0.412,0.004,0.017,0.021,0.745,0.64,0.106,0.5,0.005,0.004,0.778,0.0,0.0,0.0
31,0.694,0.385,0.0,0.944,0.9,0.177,0.164,0.109,0.084,0.467,0.153,0.182,0.423,0.978,0.742,0.113,0.603,0.008,0.006,0.714,0.0,0.0,0.0
32,0.765,0.554,0.032,0.939,0.821,0.257,0.301,0.296,0.168,0.455,0.316,0.286,0.638,0.981,0.69,0.112,0.57,0.031,0.01,0.333,0.0,0.0,0.0
33,0.264,0.134,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.435,0.007,0.005,0.053,0.858,0.663,0.104,0.51,0.004,0.003,0.833,0.0,0.0,0.0
34,0.812,0.598,0.0,0.957,0.945,0.223,0.235,0.203,0.1,0.466,0.148,0.206,0.291,0.979,0.556,0.027,0.505,0.004,0.003,0.714,0.0,0.0,0.0
35,0.929,0.857,0.041,0.964,0.927,0.316,0.44,0.423,0.124,0.489,0.21,0.308,0.504,0.991,0.656,0.079,0.586,0.011,0.005,0.5,0.0,0.0,0.0
