,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0,0.598,0.279,0.0,0.938,0.821,0.204,0.204,0.117,0.173,0.424,0.315,0.188,0.657,0.964,0.577,0.082,0.429,0.071,0.025,0.348,0.03,0.08,0.071469200431765
1,0.591,0.217,0.0,0.966,0.9,0.147,0.122,0.113,0.092,0.538,0.18,0.124,0.475,0.983,0.535,0.186,0.358,0.026,0.011,0.423,0.265,0.512,0.19816595922382757
2,0.692,0.18,0.0,0.941,0.826,0.1,0.072,0.068,0.064,0.706,0.132,0.078,0.365,0.961,0.21,0.034,0.12,0.03,0.014,0.476,0.555,0.798,0.4088016718320608
3,0.804,0.354,0.037,0.987,0.958,0.158,0.124,0.125,0.09,0.689,0.178,0.115,0.44,0.989,0.417,0.117,0.283,0.012,0.006,0.478,0.438,0.704,0.35088347256826774
4,0.782,0.338,0.0,0.996,0.961,0.163,0.126,0.126,0.089,0.644,0.184,0.125,0.554,0.991,0.324,0.047,0.195,0.013,0.005,0.4,0.417,0.684,0.3219183437317603
5,0.833,0.319,0.013,0.771,0.443,0.148,0.116,0.104,0.098,0.721,0.202,0.141,0.52,0.963,0.376,0.072,0.233,0.049,0.012,0.25,0.447,0.712,0.38046324444914087
6,0.897,0.637,0.0,0.998,0.995,0.232,0.204,0.2,0.142,0.555,0.278,0.208,0.578,0.999,0.333,0.002,0.21,0.001,0.0,0.333,0.261,0.507,0.24820113551220424
7,0.832,0.554,0.096,0.957,0.934,0.244,0.23,0.225,0.143,0.545,0.278,0.239,0.588,0.994,0.497,0.072,0.338,0.008,0.002,0.222,0.184,0.392,0.19639979255333576
8,0.776,0.329,0.008,0.907,0.577,0.174,0.149,0.134,0.116,0.648,0.237,0.16,0.474,0.954,0.737,0.3,0.538,0.088,0.031,0.353,0.308,0.567,0.2886075718647614
9,0.945,0.161,0.0,0.876,0.81,0.031,0.017,0.017,0.015,0.933,0.016,0.019,0.077,0.938,0.041,0.002,0.021,0.007,0.002,0.231,0.867,0.962,0.6133005260676102
10,0.757,0.321,0.0,0.855,0.548,0.189,0.177,0.129,0.173,0.464,0.331,0.226,0.742,0.972,0.638,0.192,0.461,0.137,0.04,0.294,0.062,0.155,0.11083720345245784
