,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0,0.663,0.437,0.0,0.922,0.806,0.248,0.283,0.229,0.238,0.463,0.302,0.283,0.787,0.991,0.652,0.135,0.531,0.058,0.035,0.6,0.0,0.0,0.0
1,0.657,0.446,0.0,0.898,0.83,0.243,0.265,0.226,0.176,0.463,0.32,0.187,0.67,0.989,0.712,0.169,0.568,0.027,0.019,0.727,0.0,0.0,0.0
2,0.628,0.362,0.0,0.883,0.695,0.245,0.273,0.164,0.203,0.462,0.391,0.234,0.648,0.978,0.656,0.143,0.51,0.07,0.055,0.778,0.0,0.0,0.0
3,0.836,0.612,0.0,0.953,0.89,0.27,0.32,0.298,0.181,0.479,0.361,0.235,0.669,0.993,0.6,0.076,0.519,0.031,0.018,0.6,0.0,0.0,0.0
4,0.757,0.531,0.0,0.928,0.859,0.3,0.306,0.239,0.195,0.476,0.392,0.256,0.754,0.993,0.632,0.11,0.527,0.036,0.024,0.667,0.0,0.0,0.0
5,0.823,0.547,0.007,0.798,0.548,0.3,0.393,0.405,0.196,0.479,0.429,0.31,0.714,0.97,0.771,0.235,0.67,0.071,0.036,0.5,0.0,0.0,0.0
6,0.901,0.763,0.001,0.997,0.992,0.292,0.375,0.328,0.217,0.487,0.416,0.354,0.676,0.999,0.506,0.004,0.501,0.002,0.001,0.667,0.0,0.0,0.0
7,0.832,0.612,0.158,0.995,0.951,0.278,0.34,0.344,0.206,0.481,0.413,0.355,0.634,0.996,0.598,0.069,0.54,0.01,0.005,0.5,0.0,0.0,0.0
8,0.812,0.457,0.003,0.875,0.681,0.206,0.222,0.194,0.194,0.475,0.444,0.25,0.653,0.962,0.759,0.256,0.614,0.097,0.056,0.571,0.0,0.0,0.0
9,0.62,0.281,0.008,0.917,0.722,0.2,0.208,0.111,0.16,0.46,0.319,0.236,0.542,0.954,0.849,0.273,0.747,0.097,0.069,0.714,0.0,0.0,0.0
10,0.744,0.47,0.001,0.807,0.602,0.254,0.284,0.307,0.21,0.479,0.443,0.261,0.761,0.971,0.889,0.457,0.723,0.114,0.068,0.6,0.0,0.0,0.0
11,0.451,0.184,0.0,0.6,0.0,0.144,0.14,0.06,0.14,0.45,0.26,0.24,0.66,0.916,0.86,0.462,0.69,0.22,0.12,0.545,0.0,0.0,0.0
12,0.701,0.395,0.014,0.736,0.391,0.246,0.282,0.273,0.136,0.463,0.218,0.245,0.573,0.942,0.769,0.245,0.619,0.073,0.036,0.5,0.0,0.0,0.0
13,0.369,0.131,0.0,0.5,0.0,0.071,0.062,0.031,0.172,0.451,0.344,0.156,0.562,0.886,0.825,0.475,0.658,0.25,0.125,0.5,0.0,0.0,0.0
14,0.711,0.435,0.004,0.881,0.762,0.24,0.281,0.162,0.167,0.459,0.362,0.312,0.573,0.973,0.633,0.126,0.579,0.023,0.015,0.667,0.0,0.0,0.0
15,0.733,0.385,0.0,0.955,0.881,0.234,0.276,0.222,0.142,0.463,0.267,0.188,0.48,0.969,0.679,0.175,0.62,0.017,0.011,0.667,0.0,0.0,0.0
16,0.866,0.714,0.04,0.991,0.983,0.29,0.373,0.334,0.199,0.483,0.369,0.352,0.599,0.996,0.547,0.027,0.511,0.007,0.003,0.5,0.0,0.0,0.0
17,0.675,0.377,0.001,0.889,0.792,0.228,0.259,0.205,0.151,0.473,0.283,0.214,0.648,0.985,0.918,0.283,0.817,0.03,0.024,0.8,0.0,0.0,0.0
18,0.734,0.304,,0.87,0.315,0.227,0.241,0.241,0.185,0.472,0.37,0.148,0.667,0.95,0.814,0.275,0.67,0.185,0.093,0.5,0.0,0.0,0.0
19,0.894,0.67,0.006,0.971,0.931,0.281,0.356,0.295,0.199,0.491,0.375,0.332,0.644,0.991,0.928,0.23,0.881,0.019,0.019,1.0,0.0,0.0,0.0
20,0.579,0.234,0.0,0.812,0.412,0.139,0.138,0.138,0.15,0.463,0.325,0.175,0.625,0.945,0.931,0.464,0.851,0.15,0.1,0.667,0.0,0.0,0.0
21,0.609,0.093,0.0,0.545,0.0,0.234,0.273,0.091,0.182,0.439,0.227,0.227,0.5,0.876,0.823,0.407,0.624,0.409,0.136,0.333,0.0,0.0,0.0
22,0.814,0.427,0.0,0.812,0.188,0.268,0.344,0.281,0.219,0.482,0.375,0.281,0.656,0.924,0.94,0.589,0.844,0.188,0.125,0.667,0.0,0.0,0.0
23,0.873,0.658,0.353,0.971,0.953,0.292,0.365,0.365,0.215,0.49,0.394,0.31,0.715,0.989,0.946,0.336,0.885,0.022,0.018,0.833,0.0,0.0,0.0
24,0.783,0.458,0.003,0.953,0.907,0.226,0.245,0.193,0.149,0.476,0.27,0.242,0.488,0.977,0.858,0.19,0.752,0.034,0.025,0.727,0.0,0.0,0.0
25,0.835,0.591,0.225,0.97,0.924,0.259,0.303,0.242,0.205,0.483,0.386,0.197,0.591,0.984,0.92,0.196,0.825,0.045,0.038,0.833,0.0,0.0,0.0
26,0.512,0.226,0.0,0.759,0.259,0.21,0.222,0.241,0.157,0.436,0.333,0.185,0.519,0.917,0.851,0.182,0.704,0.148,0.074,0.5,0.0,0.0,0.0
27,0.725,0.428,0.06,0.884,0.826,0.241,0.273,0.209,0.172,0.479,0.314,0.209,0.64,0.979,0.928,0.328,0.856,0.041,0.035,0.857,0.0,0.0,0.0
28,0.712,0.362,0.016,0.896,0.766,0.216,0.234,0.188,0.201,0.473,0.435,0.169,0.74,0.98,0.918,0.351,0.823,0.052,0.039,0.75,0.0,0.0,0.0
29,0.712,0.501,0.005,0.897,0.821,0.26,0.314,0.308,0.208,0.486,0.378,0.295,0.654,0.98,0.91,0.183,0.875,0.038,0.038,1.0,0.0,0.0,0.0
30,0.557,0.12,0.0,0.364,0.0,0.174,0.182,0.091,0.227,0.433,0.318,0.364,0.5,0.845,0.831,0.496,0.6,0.409,0.227,0.556,0.0,0.0,0.0
31,0.713,0.335,0.001,0.954,0.911,0.185,0.182,0.116,0.106,0.441,0.219,0.132,0.679,0.985,0.704,0.124,0.538,0.023,0.017,0.714,0.0,0.0,0.0
32,0.753,0.551,0.032,0.938,0.818,0.255,0.297,0.229,0.164,0.45,0.323,0.255,0.62,0.98,0.688,0.111,0.565,0.031,0.01,0.333,0.0,0.0,0.0
33,0.386,0.229,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.443,0.01,0.008,0.08,0.811,0.603,0.087,0.509,0.011,0.011,1.0,0.0,0.0,0.0
34,0.751,0.53,0.0,0.931,0.919,0.183,0.169,0.108,0.08,0.455,0.145,0.148,0.289,0.968,0.566,0.032,0.505,0.005,0.004,0.714,0.0,0.0,0.0
35,0.896,0.78,0.03,0.949,0.924,0.299,0.394,0.394,0.186,0.487,0.343,0.326,0.661,0.986,0.66,0.11,0.576,0.025,0.013,0.5,0.0,0.0,0.0
