,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0,0.717,0.301,0.0,0.941,0.654,0.211,0.21,0.179,0.164,0.436,0.318,0.244,0.836,0.994,0.636,0.157,0.451,0.13,0.056,0.429,0.03,0.08,0.07404953084270183
1,0.591,0.222,0.0,0.966,0.861,0.145,0.116,0.104,0.094,0.541,0.177,0.13,0.477,0.987,0.504,0.141,0.337,0.042,0.019,0.452,0.265,0.512,0.21046448640873436
2,,0.154,,0.983,0.797,0.096,0.067,0.055,0.056,0.701,0.126,0.067,0.355,0.974,0.217,0.041,0.122,0.061,0.027,0.452,0.555,0.798,0.38527941461290827
3,0.848,0.358,0.0,0.993,0.938,0.162,0.125,0.118,0.088,0.692,0.182,0.123,0.466,0.988,0.318,0.051,0.187,0.023,0.012,0.524,0.438,0.704,0.3520663361432253
4,0.791,0.314,0.0,0.982,0.893,0.158,0.124,0.121,0.096,0.668,0.182,0.12,0.51,0.99,0.43,0.104,0.269,0.028,0.013,0.452,0.417,0.684,0.33799457437273006
5,0.833,0.313,0.0,0.758,0.505,0.145,0.116,0.11,0.106,0.751,0.202,0.119,0.563,0.966,0.618,0.235,0.431,0.076,0.031,0.4,0.447,0.712,0.3984964440256787
6,0.897,0.633,0.0,0.998,0.994,0.231,0.203,0.2,0.135,0.585,0.262,0.193,0.666,0.999,0.333,0.003,0.21,0.002,0.001,0.571,0.261,0.507,0.24668729172701506
7,0.834,0.522,0.005,0.989,0.949,0.238,0.222,0.217,0.149,0.567,0.277,0.207,0.612,0.995,0.506,0.083,0.344,0.012,0.005,0.429,0.184,0.392,0.19246280677339567
8,0.776,0.265,0.001,0.907,0.191,0.166,0.144,0.103,0.116,0.665,0.216,0.18,0.557,0.956,0.86,0.457,0.679,0.139,0.052,0.37,0.308,0.567,0.28923898051298713
9,0.928,0.142,0.0,0.919,0.741,0.03,0.017,0.018,0.013,0.947,0.022,0.019,0.097,0.924,0.44,0.206,0.33,0.013,0.007,0.5,0.867,0.962,0.6049696222528795
10,0.757,0.262,0.0,0.895,0.056,0.193,0.185,0.121,0.161,0.496,0.282,0.218,0.75,0.972,0.806,0.395,0.627,0.218,0.081,0.37,0.062,0.155,0.11556470828001486
11,0.732,0.184,0.0,0.804,0.356,0.095,0.072,0.068,0.078,0.779,0.16,0.068,0.38,0.948,0.828,0.424,0.638,0.1,0.044,0.44,0.531,0.78,0.37560549804259613
12,0.787,0.221,0.0,0.66,0.362,0.103,0.075,0.075,0.054,0.802,0.109,0.074,0.337,0.948,0.525,0.224,0.37,0.037,0.016,0.44,0.594,0.825,0.4444968621862063
13,0.955,0.122,0.0,0.37,0.107,0.032,0.019,0.021,0.018,0.942,0.04,0.022,0.166,0.873,0.223,0.104,0.161,0.035,0.012,0.36,0.847,0.955,0.6263626642428061
14,0.793,0.36,0.0,0.887,0.762,0.153,0.123,0.119,0.084,0.765,0.16,0.104,0.449,0.967,0.628,0.231,0.45,0.024,0.011,0.48,0.461,0.724,0.3740291225133065
15,0.703,0.22,0.0,0.965,0.866,0.115,0.094,0.08,0.071,0.745,0.139,0.091,0.42,0.974,0.826,0.324,0.659,0.02,0.01,0.52,0.419,0.686,0.32213801527041547
16,0.802,0.466,0.0,0.979,0.921,0.241,0.24,0.218,0.133,0.561,0.241,0.194,0.581,0.995,0.637,0.196,0.475,0.015,0.008,0.5,0.158,0.348,0.17085821514530505
17,0.684,0.32,0.001,0.977,0.906,0.198,0.179,0.157,0.121,0.602,0.24,0.153,0.552,0.987,0.859,0.261,0.717,0.019,0.013,0.714,0.235,0.47,0.2161118455409285
18,0.755,0.281,0.0,0.756,0.504,0.134,0.107,0.094,0.077,0.779,0.154,0.103,0.389,0.959,0.856,0.139,0.758,0.06,0.034,0.571,0.484,0.743,0.3429782288088364
19,0.931,0.551,0.011,0.962,0.89,0.214,0.183,0.183,0.125,0.657,0.242,0.178,0.542,0.992,0.892,0.206,0.801,0.015,0.01,0.714,0.289,0.543,0.2824129797172969
20,0.794,0.275,0.002,0.795,0.577,0.135,0.105,0.111,0.072,0.759,0.139,0.105,0.386,0.964,0.82,0.23,0.681,0.04,0.028,0.714,0.489,0.748,0.34553891727993785
21,0.926,0.209,0.0,0.591,0.248,0.035,0.02,0.022,0.017,0.939,0.033,0.022,0.098,0.877,0.813,0.252,0.666,0.028,0.02,0.714,0.846,0.954,0.6134427055886533
22,0.948,0.517,0.0,0.683,0.439,0.072,0.078,0.078,0.061,0.866,0.122,0.078,0.39,0.949,0.828,0.3,0.638,0.068,0.049,0.714,0.605,0.832,-0.1788699110193293
23,0.86,0.448,0.0,0.938,0.806,0.233,0.271,0.238,0.159,0.522,0.271,0.212,0.671,0.988,0.897,0.309,0.807,0.041,0.026,0.643,0.027,0.073,-0.05664345338949342
24,0.769,0.402,0.0,0.977,0.921,0.185,0.201,0.17,0.144,0.513,0.24,0.217,0.491,0.978,0.837,0.221,0.666,0.032,0.02,0.643,0.054,0.137,-0.047711904564133656
25,0.939,0.48,0.0,0.959,0.882,0.139,0.098,0.1,0.075,0.813,0.117,0.088,0.327,0.976,0.907,0.304,0.806,0.021,0.015,0.714,0.531,0.78,0.40616642340592346
26,,0.187,,0.83,0.659,0.124,0.091,0.085,0.088,0.719,0.165,0.091,0.312,0.947,0.83,0.196,0.646,0.08,0.051,0.643,0.382,0.649,0.2587685274095793
27,0.844,0.384,0.119,0.938,0.859,0.225,0.23,0.234,0.176,0.526,0.309,0.215,0.594,0.982,0.875,0.242,0.77,0.055,0.035,0.643,0.079,0.194,0.11891426907018662
28,,0.256,,0.932,0.892,0.115,0.085,0.089,0.063,0.792,0.132,0.083,0.309,0.965,0.819,0.208,0.623,0.016,0.01,0.643,0.564,0.805,0.43143185659151567
29,0.74,0.409,0.0,0.926,0.821,0.235,0.24,0.21,0.153,0.52,0.258,0.245,0.528,0.979,0.867,0.271,0.71,0.061,0.039,0.643,0.075,0.184,0.12081270222788365
30,0.988,0.408,0.0,0.34,0.051,0.012,0.012,0.012,0.014,0.98,0.01,0.029,0.046,0.838,0.826,0.246,0.693,0.015,0.01,0.643,0.906,0.976,-0.01761593349694296
31,0.784,0.339,0.0,0.813,0.719,0.111,0.114,0.08,0.115,0.64,0.119,0.087,0.282,0.956,0.866,0.198,0.782,0.024,0.015,0.643,0.178,0.383,-0.06127508065520304
32,0.761,0.361,0.001,0.979,0.747,0.233,0.258,0.216,0.173,0.478,0.33,0.247,0.763,0.985,0.638,0.106,0.571,0.093,0.031,0.333,0.0,0.0,-0.0034063285763448066
33,0.294,0.128,0.0,0.0,0.0,0.0,0.0,0.0,0.019,0.547,0.03,0.013,0.369,0.956,0.673,0.203,0.492,0.01,0.008,0.818,0.194,0.408,0.0772788075107612
34,0.75,0.49,0.0,0.956,0.929,0.19,0.18,0.142,0.085,0.465,0.195,0.152,0.38,0.986,0.693,0.07,0.569,0.007,0.006,0.818,0.011,0.029,0.013581005591933232
35,0.928,0.677,0.006,0.932,0.84,0.274,0.281,0.266,0.163,0.56,0.321,0.241,0.674,0.988,0.581,0.125,0.407,0.045,0.018,0.389,0.124,0.286,0.15524491761765435
