,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0,0.598,0.233,0.0,0.938,0.623,0.183,0.179,0.127,0.162,0.427,0.299,0.204,0.673,0.952,0.605,0.11,0.437,0.13,0.04,0.31,0.03,0.08,0.07112921621377909
1,0.532,0.219,0.0,0.966,0.84,0.158,0.133,0.116,0.104,0.493,0.204,0.103,0.565,0.987,0.404,0.077,0.249,0.042,0.016,0.381,0.265,0.512,0.19798747991770194
2,0.685,0.146,0.0,0.941,0.787,0.092,0.062,0.062,0.061,0.686,0.116,0.071,0.382,0.969,0.206,0.035,0.116,0.061,0.026,0.429,0.555,0.798,0.37033973070107656
3,0.804,0.318,0.0,0.987,0.938,0.152,0.117,0.114,0.084,0.67,0.168,0.11,0.489,0.986,0.306,0.045,0.178,0.023,0.01,0.429,0.438,0.704,0.34933551163942084
4,0.782,0.316,0.0,0.996,0.916,0.16,0.123,0.12,0.092,0.645,0.18,0.118,0.599,0.99,0.4,0.092,0.244,0.028,0.011,0.405,0.417,0.684,0.33000898822723074
5,0.833,0.286,0.001,0.758,0.327,0.143,0.113,0.107,0.107,0.73,0.217,0.144,0.563,0.963,0.401,0.09,0.255,0.076,0.018,0.24,0.447,0.712,0.38250769898639103
6,0.897,0.621,0.0,0.998,0.991,0.231,0.202,0.199,0.139,0.564,0.269,0.202,0.661,0.999,0.334,0.003,0.21,0.002,0.001,0.357,0.261,0.507,0.24675514707079435
7,0.832,0.545,0.017,0.957,0.929,0.241,0.225,0.231,0.148,0.551,0.281,0.219,0.601,0.994,0.517,0.088,0.357,0.012,0.003,0.286,0.184,0.392,0.19955496503324843
8,0.776,0.291,0.004,0.897,0.361,0.188,0.165,0.144,0.131,0.627,0.273,0.16,0.526,0.958,0.549,0.153,0.375,0.139,0.026,0.185,0.308,0.567,0.28869479700786643
9,0.928,0.125,0.0,0.885,0.741,0.031,0.018,0.018,0.014,0.94,0.019,0.017,0.09,0.885,0.167,0.066,0.115,0.013,0.005,0.346,0.867,0.962,0.5858017082650033
10,0.719,0.333,0.0,0.855,0.218,0.203,0.202,0.121,0.19,0.463,0.371,0.137,0.71,0.973,0.612,0.175,0.443,0.218,0.04,0.185,0.062,0.155,0.11454740039344831
11,0.732,0.205,0.012,0.76,0.256,0.106,0.08,0.084,0.062,0.742,0.144,0.084,0.368,0.923,0.543,0.187,0.366,0.1,0.02,0.2,0.531,0.78,0.3446199765652647
12,0.748,0.191,0.0,0.632,0.296,0.098,0.072,0.066,0.054,0.765,0.099,0.069,0.317,0.877,0.228,0.042,0.136,0.037,0.01,0.28,0.594,0.825,0.4589612520758376
