,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0,0.598,0.234,0.0,0.938,0.642,0.179,0.173,0.117,0.148,0.429,0.281,0.16,0.636,0.955,0.61,0.117,0.443,0.13,0.043,0.333,0.03,0.08,0.07156583093602326
1,0.532,0.208,0.0,0.966,0.847,0.152,0.127,0.101,0.094,0.519,0.177,0.129,0.506,0.981,0.514,0.179,0.337,0.042,0.017,0.405,0.265,0.512,0.19607246357827915
2,0.685,0.146,0.0,0.915,0.732,0.091,0.059,0.061,0.055,0.702,0.114,0.064,0.399,0.967,0.201,0.034,0.114,0.061,0.026,0.429,0.555,0.798,0.3660379663594354
3,0.804,0.322,0.0,0.987,0.933,0.154,0.122,0.114,0.084,0.69,0.163,0.109,0.497,0.987,0.338,0.073,0.207,0.023,0.01,0.452,0.438,0.704,0.33548809520594014
4,0.782,0.31,0.0,0.973,0.893,0.159,0.122,0.124,0.091,0.65,0.175,0.12,0.621,0.99,0.389,0.085,0.237,0.028,0.011,0.381,0.417,0.684,0.32588132506781353
5,0.833,0.272,0.0,0.758,0.306,0.146,0.119,0.107,0.109,0.739,0.202,0.113,0.606,0.967,0.452,0.123,0.297,0.076,0.028,0.36,0.447,0.712,0.394335192014693
6,0.897,0.635,0.0,0.998,0.99,0.23,0.203,0.2,0.139,0.563,0.27,0.208,0.639,0.999,0.334,0.002,0.21,0.002,0.001,0.286,0.261,0.507,0.24825062596538708
7,0.832,0.542,0.023,0.957,0.918,0.242,0.226,0.232,0.15,0.564,0.293,0.236,0.59,0.995,0.5,0.082,0.343,0.012,0.003,0.286,0.184,0.392,0.19908677971207406
8,0.776,0.248,0.001,0.897,0.196,0.167,0.144,0.129,0.113,0.648,0.247,0.191,0.515,0.958,0.674,0.262,0.473,0.139,0.041,0.296,0.308,0.567,0.29117542726527784
9,0.928,0.136,0.0,0.876,0.699,0.031,0.017,0.018,0.014,0.945,0.019,0.018,0.079,0.93,0.251,0.135,0.177,0.013,0.005,0.346,0.867,0.962,0.6029583047587489
10,0.719,0.335,0.0,0.855,0.331,0.228,0.258,0.177,0.165,0.487,0.282,0.218,0.742,0.975,0.712,0.275,0.53,0.218,0.065,0.296,0.062,0.155,0.11645596569277501
11,0.732,0.202,0.0,0.76,0.168,0.095,0.068,0.08,0.076,0.756,0.164,0.064,0.384,0.936,0.627,0.242,0.435,0.1,0.028,0.28,0.531,0.78,0.360011369768211
12,0.748,0.199,0.0,0.632,0.3,0.099,0.071,0.075,0.051,0.767,0.096,0.069,0.314,0.877,0.24,0.05,0.146,0.037,0.012,0.32,0.594,0.825,0.4630123470976423
13,0.955,0.172,0.0,0.37,0.0,0.038,0.024,0.026,0.017,0.942,0.037,0.019,0.162,0.887,0.231,0.098,0.163,0.035,0.012,0.36,0.847,0.955,0.6029572205093222
14,0.793,0.293,0.0,0.745,0.525,0.137,0.108,0.108,0.083,0.759,0.174,0.119,0.434,0.969,0.275,0.029,0.165,0.024,0.009,0.36,0.461,0.724,0.37459840743974837
15,0.703,0.21,0.0,0.909,0.757,0.122,0.098,0.091,0.074,0.726,0.134,0.087,0.371,0.957,0.555,0.168,0.377,0.02,0.008,0.4,0.419,0.686,0.31714343310498094
16,0.802,0.494,0.0,0.979,0.917,0.244,0.237,0.226,0.137,0.537,0.248,0.218,0.625,0.995,0.451,0.036,0.301,0.015,0.005,0.346,0.158,0.348,0.17230769709748178
17,0.586,0.29,0.0,0.907,0.859,0.186,0.164,0.145,0.112,0.573,0.216,0.119,0.556,0.982,0.76,0.189,0.622,0.019,0.012,0.643,0.235,0.47,0.21845884276532784
18,0.755,0.298,0.001,0.756,0.41,0.14,0.111,0.098,0.094,0.756,0.184,0.094,0.41,0.96,0.766,0.2,0.668,0.06,0.03,0.5,0.484,0.743,0.35063451343813906
19,0.931,0.566,0.002,0.951,0.857,0.217,0.184,0.183,0.137,0.644,0.261,0.181,0.587,0.992,0.819,0.256,0.583,0.015,0.01,0.714,0.289,0.543,0.288119466302206
20,0.676,0.232,0.006,0.71,0.446,0.132,0.102,0.102,0.068,0.736,0.139,0.108,0.386,0.955,0.727,0.307,0.555,0.04,0.026,0.643,0.489,0.748,0.3681719742711496
21,0.926,0.213,0.0,0.591,0.256,0.035,0.02,0.022,0.017,0.935,0.03,0.022,0.114,0.874,0.573,0.229,0.416,0.028,0.016,0.571,0.846,0.954,0.6219350415385341
22,0.942,0.352,0.0,0.659,0.273,0.068,0.073,0.078,0.078,0.864,0.141,0.073,0.361,0.938,0.799,0.362,0.627,0.068,0.044,0.643,0.605,0.832,-0.15728373283371563
23,0.86,0.487,0.0,0.938,0.812,0.238,0.282,0.238,0.185,0.519,0.324,0.232,0.753,0.988,0.877,0.33,0.773,0.041,0.029,0.714,0.027,0.073,-0.05654522327463451
24,0.769,0.412,0.0,0.984,0.95,0.197,0.219,0.204,0.13,0.514,0.224,0.206,0.482,0.974,0.83,0.262,0.655,0.032,0.023,0.714,0.054,0.137,-0.04887399666399738
25,0.888,0.505,0.01,0.956,0.864,0.143,0.102,0.1,0.078,0.795,0.133,0.098,0.286,0.973,0.825,0.244,0.643,0.021,0.012,0.571,0.531,0.78,0.44677456295167167
26,0.603,0.178,0.003,0.795,0.358,0.118,0.085,0.08,0.085,0.714,0.136,0.097,0.352,0.951,0.886,0.283,0.713,0.08,0.045,0.571,0.382,0.649,0.2641184802838655
27,0.687,0.365,0.026,0.914,0.734,0.234,0.238,0.234,0.146,0.515,0.258,0.16,0.582,0.98,0.902,0.321,0.801,0.055,0.035,0.643,0.079,0.194,0.11544240812112812
28,,0.215,,0.833,0.714,0.11,0.08,0.07,0.065,0.769,0.131,0.068,0.312,0.954,0.648,0.14,0.514,0.016,0.01,0.643,0.564,0.805,0.43586612080676485
29,0.74,0.376,0.0,0.917,0.646,0.222,0.231,0.205,0.188,0.5,0.341,0.231,0.633,0.977,0.766,0.306,0.571,0.061,0.039,0.643,0.075,0.184,0.12522409651027286
30,0.988,0.389,0.0,0.34,0.035,0.012,0.012,0.012,0.007,0.981,0.013,0.026,0.05,0.821,0.707,0.254,0.528,0.015,0.01,0.643,0.906,0.976,-0.01883091967470473
31,0.784,0.321,0.0,0.813,0.718,0.108,0.111,0.068,0.071,0.631,0.105,0.088,0.328,0.955,0.897,0.246,0.808,0.024,0.015,0.643,0.178,0.383,-0.06189399370400071
32,0.75,0.35,0.0,0.933,0.613,0.212,0.232,0.16,0.165,0.47,0.34,0.206,0.686,0.981,0.662,0.105,0.567,0.093,0.026,0.278,0.0,0.0,-0.0031208362882945468
33,0.294,0.126,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.504,0.016,0.008,0.253,0.853,0.51,0.108,0.347,0.01,0.007,0.636,0.194,0.408,0.044645918095684585
34,0.739,0.453,0.0,0.95,0.923,0.19,0.176,0.143,0.068,0.428,0.129,0.15,0.277,0.973,0.537,0.028,0.441,0.007,0.004,0.545,0.011,0.029,0.013538998540008607
35,0.915,0.66,0.001,0.932,0.83,0.266,0.263,0.266,0.155,0.559,0.298,0.223,0.677,0.988,0.641,0.162,0.452,0.045,0.018,0.389,0.124,0.286,0.15789342047304294
