,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0,0.362,0.117,0.0,0.154,0.0,0.015,0.015,0.0,0.012,0.353,0.01,0.005,0.114,0.717,0.627,0.112,0.458,0.075,0.03,0.4,0.005,0.014,0.004479578392621851
1,0.499,0.265,0.0,0.762,0.68,0.128,0.111,0.066,0.044,0.441,0.015,0.057,0.156,0.96,0.715,0.128,0.56,0.01,0.007,0.727,0.001,0.004,-0.0017203407359122538
2,0.467,0.252,0.0,0.674,0.508,0.178,0.179,0.096,0.036,0.445,0.005,0.13,0.115,0.937,0.657,0.096,0.517,0.01,0.007,0.667,0.0,0.001,-0.0007172495032644307
3,0.688,0.371,0.0,0.944,0.888,0.173,0.175,0.116,0.014,0.477,0.007,0.068,0.139,0.953,0.606,0.052,0.545,0.007,0.004,0.533,0.005,0.013,-0.001685299332443581
4,0.622,0.35,0.0,0.878,0.779,0.172,0.174,0.124,0.028,0.502,0.009,0.108,0.212,0.982,0.635,0.076,0.576,0.008,0.005,0.6,0.02,0.053,-0.005424797908974829
5,0.663,0.36,0.013,0.771,0.5,0.227,0.279,0.19,0.028,0.478,0.011,0.148,0.176,0.947,0.732,0.14,0.637,0.017,0.008,0.5,0.011,0.03,-0.0027139587401736323
6,0.763,0.532,0.0,0.977,0.928,0.229,0.26,0.195,0.034,0.496,0.014,0.24,0.169,0.996,0.507,0.007,0.459,0.001,0.001,0.667,0.009,0.024,-0.005513382050713949
7,0.578,0.281,0.02,0.905,0.854,0.22,0.243,0.166,0.038,0.453,0.011,0.222,0.146,0.973,0.7,0.112,0.588,0.007,0.004,0.5,0.006,0.016,-0.006103035501978989
8,0.541,0.164,0.0,0.601,0.274,0.062,0.06,0.03,0.036,0.468,0.012,0.119,0.19,0.869,0.813,0.163,0.68,0.042,0.024,0.571,0.023,0.062,-0.012041332868919072
9,0.662,0.303,0.038,0.92,0.891,0.176,0.195,0.137,0.007,0.464,0.002,0.193,0.061,0.966,0.786,0.114,0.685,0.002,0.002,0.857,0.001,0.002,-0.00024168609254203032
10,0.449,0.14,0.0,0.5,0.0,0.14,0.135,0.081,0.034,0.456,0.014,0.054,0.297,0.869,0.864,0.334,0.73,0.135,0.068,0.5,0.013,0.036,-0.0043197650278011
11,0.471,0.176,0.0,0.821,0.305,0.125,0.129,0.064,0.006,0.467,0.0,0.112,0.162,0.929,0.835,0.2,0.731,0.031,0.02,0.636,0.021,0.057,0.0
