,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0,0.608,0.36,0.0,0.927,0.821,0.213,0.228,0.182,0.213,0.451,0.155,0.177,0.671,0.99,0.637,0.107,0.524,0.041,0.024,0.6,0.0,0.0,0.0
1,0.644,0.439,0.001,0.926,0.903,0.239,0.257,0.201,0.102,0.464,0.121,0.192,0.414,0.993,0.727,0.148,0.581,0.007,0.005,0.727,0.0,0.0,0.0
2,0.614,0.389,0.003,0.95,0.911,0.258,0.292,0.224,0.085,0.466,0.079,0.264,0.322,0.99,0.635,0.076,0.518,0.008,0.006,0.778,0.0,0.0,0.0
3,0.856,0.61,0.038,0.995,0.977,0.274,0.33,0.273,0.088,0.482,0.165,0.227,0.434,0.997,0.589,0.044,0.52,0.005,0.003,0.6,0.0,0.0,0.0
4,0.75,0.527,0.0,0.989,0.956,0.262,0.308,0.26,0.072,0.476,0.092,0.215,0.398,0.996,0.617,0.066,0.527,0.006,0.004,0.667,0.0,0.0,0.0
5,0.827,0.53,0.024,0.855,0.735,0.262,0.325,0.349,0.074,0.483,0.088,0.29,0.349,0.981,0.685,0.131,0.63,0.011,0.006,0.5,0.0,0.0,0.0
6,0.89,0.743,0.002,0.997,0.995,0.289,0.369,0.329,0.108,0.484,0.138,0.354,0.396,0.999,0.506,0.002,0.501,0.001,0.0,0.667,0.0,0.0,0.0
7,0.781,0.544,0.113,0.994,0.972,0.27,0.324,0.277,0.124,0.474,0.154,0.358,0.415,0.996,0.59,0.06,0.529,0.004,0.002,0.5,0.0,0.0,0.0
8,0.797,0.416,0.009,0.92,0.829,0.211,0.224,0.255,0.086,0.473,0.108,0.22,0.36,0.973,0.687,0.147,0.587,0.024,0.014,0.571,0.0,0.0,0.0
9,0.72,0.352,0.01,0.937,0.913,0.195,0.224,0.182,0.017,0.468,0.011,0.228,0.099,0.972,0.782,0.125,0.684,0.002,0.002,0.857,0.0,0.0,0.0
10,0.666,0.394,0.013,0.824,0.592,0.273,0.317,0.254,0.113,0.471,0.155,0.162,0.507,0.964,0.874,0.321,0.713,0.07,0.042,0.6,0.0,0.0,0.0
11,0.632,0.303,0.0,0.89,0.632,0.218,0.242,0.171,0.049,0.463,0.075,0.169,0.297,0.964,0.821,0.207,0.687,0.025,0.016,0.636,0.0,0.0,0.0
12,0.655,0.326,0.005,0.769,0.685,0.22,0.249,0.174,0.044,0.449,0.07,0.173,0.246,0.958,0.689,0.13,0.574,0.006,0.004,0.625,0.0,0.0,0.0
13,0.507,0.278,0.0,0.677,0.543,0.149,0.167,0.105,0.022,0.46,0.03,0.086,0.141,0.954,0.591,0.078,0.552,0.006,0.004,0.625,0.0,0.0,0.0
14,0.732,0.513,0.0,0.824,0.776,0.226,0.257,0.24,0.058,0.458,0.072,0.229,0.268,0.979,0.538,0.035,0.525,0.003,0.002,0.667,0.0,0.0,0.0
15,0.685,0.342,0.046,0.781,0.756,0.222,0.254,0.188,0.043,0.455,0.059,0.177,0.212,0.964,0.669,0.147,0.612,0.003,0.002,0.667,0.0,0.0,0.0
16,0.857,0.693,0.013,0.992,0.988,0.29,0.369,0.33,0.11,0.481,0.132,0.342,0.369,0.997,0.539,0.013,0.507,0.003,0.002,0.667,0.0,0.0,0.0
17,0.647,0.368,0.0,0.931,0.892,0.223,0.251,0.199,0.058,0.474,0.086,0.148,0.375,0.991,0.906,0.226,0.801,0.009,0.007,0.8,0.0,0.0,0.0
18,0.652,0.302,0.0,0.859,0.676,0.168,0.178,0.181,0.077,0.468,0.114,0.208,0.374,0.975,0.802,0.177,0.708,0.025,0.015,0.6,0.0,0.0,0.0
19,0.929,0.746,0.092,0.986,0.975,0.302,0.402,0.358,0.083,0.494,0.105,0.269,0.416,0.995,0.913,0.183,0.855,0.005,0.005,1.0,0.0,0.0,0.0
20,0.622,0.322,0.005,0.883,0.64,0.209,0.234,0.162,0.061,0.47,0.08,0.182,0.334,0.977,0.901,0.247,0.831,0.019,0.015,0.75,0.0,0.0,0.0
21,0.757,0.429,0.014,0.79,0.665,0.27,0.359,0.237,0.027,0.475,0.154,0.183,0.281,0.971,0.793,0.188,0.696,0.009,0.004,0.444,0.0,0.0,0.0
22,0.885,0.563,0.0,0.912,0.72,0.235,0.264,0.217,0.055,0.485,0.088,0.192,0.291,0.97,0.807,0.106,0.753,0.016,0.014,0.833,0.0,0.0,0.0
23,0.866,0.617,0.1,0.972,0.947,0.286,0.351,0.312,0.15,0.488,0.228,0.287,0.593,0.987,0.937,0.293,0.867,0.017,0.017,1.0,0.0,0.0,0.0
24,0.676,0.372,0.0,0.957,0.911,0.211,0.227,0.169,0.093,0.47,0.112,0.175,0.362,0.977,0.845,0.188,0.728,0.02,0.015,0.727,0.0,0.0,0.0
25,0.798,0.535,0.023,0.975,0.953,0.248,0.294,0.245,0.096,0.484,0.101,0.281,0.263,0.991,0.883,0.173,0.809,0.005,0.004,0.833,0.0,0.0,0.0
26,0.667,0.412,0.0,0.899,0.821,0.257,0.301,0.24,0.059,0.468,0.074,0.24,0.26,0.957,0.844,0.1,0.745,0.027,0.017,0.625,0.0,0.0,0.0
27,0.664,0.389,0.145,0.94,0.915,0.234,0.256,0.256,0.103,0.476,0.146,0.209,0.43,0.98,0.925,0.25,0.867,0.022,0.019,0.857,0.0,0.0,0.0
28,0.693,0.329,0.04,0.908,0.855,0.206,0.223,0.179,0.048,0.47,0.066,0.145,0.278,0.986,0.878,0.218,0.765,0.005,0.005,0.875,0.0,0.0,0.0
29,0.695,0.463,0.013,0.909,0.777,0.253,0.31,0.234,0.122,0.481,0.157,0.248,0.442,0.976,0.901,0.177,0.825,0.022,0.022,1.0,0.0,0.0,0.0
30,0.669,0.289,0.0,0.666,0.506,0.071,0.05,0.022,0.005,0.436,0.006,0.034,0.046,0.853,0.64,0.106,0.5,0.005,0.004,0.778,0.0,0.0,0.0
31,0.67,0.294,0.0,0.943,0.893,0.158,0.147,0.088,0.075,0.429,0.095,0.133,0.58,0.982,0.689,0.105,0.531,0.008,0.006,0.714,0.0,0.0,0.0
32,0.707,0.504,0.032,0.928,0.717,0.244,0.277,0.187,0.123,0.438,0.187,0.253,0.506,0.97,0.69,0.11,0.557,0.036,0.012,0.333,0.0,0.0,0.0
33,0.356,0.202,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.444,0.006,0.004,0.052,0.81,0.604,0.068,0.519,0.004,0.004,1.0,0.0,0.0,0.0
34,0.743,0.51,0.0,0.939,0.923,0.169,0.156,0.13,0.068,0.451,0.089,0.153,0.235,0.966,0.571,0.03,0.504,0.004,0.003,0.714,0.0,0.0,0.0
35,0.919,0.828,0.041,0.964,0.935,0.294,0.389,0.397,0.107,0.487,0.153,0.298,0.504,0.989,0.661,0.084,0.586,0.011,0.006,0.5,0.0,0.0,0.0
