,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0,0.598,0.269,0.0,0.938,0.738,0.2,0.204,0.142,0.147,0.431,0.272,0.241,0.648,0.952,0.622,0.138,0.455,0.093,0.031,0.333,0.03,0.08,0.07263661108227329
1,0.532,0.231,0.0,0.966,0.91,0.163,0.138,0.116,0.092,0.534,0.178,0.132,0.475,0.98,0.543,0.188,0.368,0.023,0.009,0.391,0.265,0.512,0.19873837053871077
2,0.685,0.164,0.0,0.915,0.748,0.097,0.067,0.065,0.051,0.721,0.109,0.071,0.388,0.944,0.213,0.038,0.124,0.045,0.022,0.484,0.555,0.798,0.3761143521796896
3,0.804,0.339,0.0,0.987,0.945,0.158,0.124,0.117,0.081,0.697,0.157,0.106,0.472,0.987,0.409,0.12,0.279,0.016,0.008,0.483,0.438,0.704,0.33212215393846806
4,0.782,0.336,0.0,0.973,0.914,0.159,0.124,0.115,0.095,0.67,0.184,0.12,0.587,0.986,0.452,0.126,0.289,0.021,0.009,0.452,0.417,0.684,0.3277091019972141
5,0.833,0.323,0.0,0.758,0.352,0.15,0.119,0.113,0.098,0.745,0.19,0.116,0.569,0.963,0.6,0.243,0.426,0.061,0.028,0.45,0.447,0.712,0.38878540341149337
6,0.897,0.641,0.0,0.998,0.994,0.231,0.203,0.197,0.137,0.562,0.27,0.211,0.643,0.999,0.336,0.003,0.211,0.001,0.001,0.4,0.261,0.507,0.25065060096453956
7,0.832,0.576,0.027,0.957,0.925,0.247,0.237,0.228,0.152,0.561,0.284,0.215,0.587,0.995,0.495,0.081,0.339,0.011,0.003,0.308,0.184,0.392,0.19997220740898364
8,0.776,0.327,0.03,0.907,0.773,0.178,0.155,0.17,0.103,0.636,0.211,0.17,0.469,0.958,0.631,0.224,0.435,0.046,0.026,0.556,0.308,0.567,0.266888229422585
9,0.928,0.175,0.0,0.885,0.695,0.032,0.018,0.018,0.013,0.943,0.018,0.019,0.082,0.928,0.234,0.082,0.15,0.009,0.005,0.5,0.867,0.962,0.5668465348654438
10,0.719,0.265,0.0,0.855,0.411,0.173,0.161,0.129,0.165,0.481,0.298,0.226,0.71,0.97,0.774,0.336,0.597,0.145,0.056,0.389,0.062,0.155,0.11539437900057216
11,0.732,0.218,0.011,0.76,0.336,0.11,0.084,0.092,0.074,0.763,0.148,0.072,0.36,0.936,0.719,0.312,0.534,0.068,0.028,0.412,0.531,0.78,0.3495386237851592
12,0.748,0.206,0.0,0.632,0.384,0.097,0.072,0.074,0.054,0.772,0.094,0.071,0.305,0.863,0.386,0.135,0.263,0.019,0.01,0.538,0.594,0.825,0.4422433866718385
13,0.955,0.233,0.0,0.37,0.071,0.037,0.022,0.022,0.02,0.941,0.037,0.022,0.143,0.869,0.29,0.127,0.205,0.022,0.011,0.5,0.847,0.955,0.6432609790407486
14,0.793,0.337,0.0,0.745,0.643,0.145,0.114,0.118,0.08,0.75,0.173,0.11,0.425,0.967,0.629,0.226,0.445,0.013,0.009,0.643,0.461,0.724,0.3669586764818839
15,0.703,0.239,0.015,0.943,0.861,0.131,0.107,0.095,0.074,0.733,0.143,0.093,0.355,0.947,0.749,0.296,0.561,0.008,0.006,0.7,0.419,0.686,0.29475276552435653
16,0.802,0.507,0.0,0.979,0.926,0.242,0.236,0.238,0.143,0.571,0.26,0.197,0.599,0.995,0.673,0.222,0.515,0.011,0.006,0.579,0.158,0.348,0.17260006050963367
17,0.586,0.296,0.001,0.907,0.868,0.188,0.165,0.174,0.117,0.532,0.239,0.132,0.528,0.986,0.584,0.173,0.414,0.011,0.007,0.625,0.235,0.47,0.20270813998287915
18,0.755,0.323,0.003,0.756,0.462,0.143,0.111,0.124,0.1,0.745,0.188,0.098,0.427,0.954,0.624,0.225,0.459,0.043,0.021,0.5,0.484,0.743,0.35667412255018777
19,0.931,0.621,0.006,0.951,0.912,0.226,0.192,0.19,0.131,0.639,0.255,0.167,0.598,0.992,0.608,0.178,0.475,0.013,0.007,0.538,0.289,0.543,0.28853610166706806
20,0.676,0.256,0.032,0.71,0.611,0.144,0.114,0.102,0.075,0.698,0.136,0.105,0.366,0.956,0.445,0.143,0.295,0.031,0.017,0.545,0.489,0.748,0.3372653596631529
21,0.926,0.225,0.0,0.591,0.258,0.037,0.022,0.022,0.022,0.926,0.045,0.022,0.114,0.85,0.26,0.102,0.179,0.022,0.014,0.636,0.846,0.954,0.6431009572003332
22,0.942,0.471,0.0,0.659,0.385,0.072,0.078,0.078,0.056,0.859,0.093,0.073,0.317,0.936,0.647,0.222,0.463,0.054,0.034,0.636,0.605,0.832,-0.16159547464918564
23,0.86,0.52,0.0,0.938,0.865,0.229,0.271,0.203,0.169,0.518,0.332,0.235,0.674,0.989,0.826,0.241,0.721,0.029,0.018,0.6,0.027,0.073,-0.06346898637147742
24,0.769,0.424,0.014,0.989,0.968,0.215,0.247,0.188,0.119,0.504,0.192,0.192,0.452,0.974,0.841,0.252,0.669,0.023,0.018,0.8,0.054,0.137,-0.047447037558568245
25,0.888,0.474,0.09,0.956,0.924,0.141,0.098,0.1,0.075,0.784,0.135,0.103,0.329,0.968,0.819,0.398,0.641,0.015,0.009,0.6,0.531,0.78,0.4371366967752535
26,0.603,0.2,0.003,0.795,0.415,0.121,0.085,0.102,0.085,0.715,0.148,0.097,0.33,0.949,0.86,0.261,0.692,0.068,0.034,0.5,0.382,0.649,0.2547131831463559
27,0.687,0.421,0.036,0.914,0.742,0.253,0.258,0.23,0.158,0.501,0.289,0.219,0.586,0.98,0.768,0.277,0.585,0.035,0.023,0.667,0.079,0.194,0.11853854208876012
28,0.711,0.231,0.007,0.833,0.724,0.111,0.079,0.078,0.064,0.768,0.124,0.075,0.328,0.956,0.643,0.216,0.488,0.013,0.008,0.636,0.564,0.805,0.436463158284622
29,0.74,0.416,0.0,0.917,0.672,0.232,0.24,0.231,0.159,0.497,0.319,0.253,0.664,0.979,0.742,0.224,0.573,0.044,0.031,0.7,0.075,0.184,0.12353790103443367
30,0.99,0.45,0.0,0.34,0.04,0.012,0.012,0.012,0.006,0.98,0.011,0.032,0.047,0.819,0.651,0.195,0.494,0.011,0.008,0.7,0.906,0.976,-0.021156687040764708
31,0.784,0.343,0.026,0.939,0.912,0.1,0.1,0.073,0.082,0.614,0.097,0.077,0.255,0.945,0.869,0.214,0.807,0.012,0.009,0.714,0.178,0.383,-0.049538884668944023
32,0.75,0.438,0.161,0.938,0.82,0.222,0.232,0.17,0.17,0.455,0.314,0.263,0.696,0.979,0.689,0.113,0.57,0.057,0.01,0.182,0.0,0.0,-0.0028813071127513803
33,0.294,0.134,0.0,0.0,0.0,0.0,0.0,0.0,0.461,0.092,0.0,0.0,0.002,0.386,0.385,0.009,0.247,0.001,0.001,1.0,0.194,0.408,0.0
34,0.739,0.499,0.0,0.95,0.929,0.185,0.169,0.135,0.077,0.441,0.141,0.151,0.262,0.972,0.678,0.065,0.558,0.004,0.003,0.667,0.011,0.029,0.013303965582440869
35,0.915,0.738,0.006,0.932,0.817,0.277,0.276,0.276,0.163,0.548,0.323,0.253,0.652,0.988,0.627,0.14,0.444,0.035,0.01,0.286,0.124,0.286,0.15557229603083364
