,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0,0.598,0.201,0.0,0.938,0.562,0.196,0.201,0.145,0.16,0.436,0.29,0.21,0.639,0.954,0.642,0.152,0.457,0.188,0.062,0.328,0.03,0.08,0.07267577652071348
1,0.532,0.186,0.0,0.966,0.779,0.15,0.127,0.114,0.095,0.6,0.184,0.131,0.484,0.981,0.533,0.181,0.353,0.061,0.018,0.295,0.265,0.512,0.20985865624751954
2,,0.139,,0.915,0.637,0.091,0.062,0.065,0.055,0.747,0.104,0.085,0.392,0.96,0.218,0.044,0.125,0.088,0.033,0.377,0.555,0.798,0.3671345832339573
3,0.804,0.294,0.0,0.987,0.905,0.154,0.121,0.117,0.088,0.724,0.166,0.101,0.465,0.988,0.339,0.074,0.206,0.033,0.011,0.328,0.438,0.704,0.34858971765379604
4,0.782,0.286,0.0,0.973,0.85,0.159,0.124,0.124,0.088,0.688,0.173,0.122,0.58,0.989,0.429,0.106,0.267,0.041,0.014,0.344,0.417,0.684,0.32657464858534563
5,0.833,0.261,0.0,0.758,0.19,0.155,0.122,0.122,0.112,0.759,0.232,0.131,0.554,0.969,0.474,0.144,0.315,0.113,0.031,0.27,0.447,0.712,0.3883736308106866
6,0.897,0.61,0.0,0.998,0.989,0.231,0.202,0.202,0.137,0.62,0.271,0.205,0.657,0.999,0.333,0.002,0.21,0.003,0.001,0.286,0.261,0.507,0.24623957218688564
7,0.832,0.494,0.001,0.957,0.904,0.236,0.219,0.227,0.142,0.567,0.269,0.21,0.604,0.995,0.49,0.074,0.334,0.018,0.006,0.333,0.184,0.392,0.19239242918401786
8,0.776,0.21,0.0,0.897,0.021,0.192,0.17,0.165,0.124,0.669,0.253,0.149,0.603,0.96,0.737,0.31,0.543,0.201,0.046,0.231,0.308,0.567,0.3010012615183798
9,0.928,0.116,0.0,0.876,0.608,0.032,0.018,0.018,0.013,0.961,0.019,0.018,0.095,0.935,0.264,0.132,0.191,0.019,0.004,0.211,0.867,0.962,0.5727906092492586
