,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0,0.598,0.375,0.0,0.938,0.864,0.241,0.259,0.219,0.262,0.423,0.29,0.228,0.784,0.993,0.592,0.109,0.429,0.046,0.028,0.6,0.03,0.08,0.06855204659368078
1,0.593,0.306,0.001,0.966,0.952,0.183,0.15,0.146,0.112,0.516,0.223,0.137,0.487,0.989,0.492,0.119,0.31,0.011,0.008,0.727,0.265,0.512,0.21547512946799788
2,0.744,0.211,0.003,0.988,0.97,0.105,0.072,0.064,0.084,0.646,0.122,0.077,0.352,0.974,0.221,0.039,0.124,0.013,0.01,0.778,0.555,0.798,0.39461018167329454
3,0.861,0.434,0.038,0.998,0.986,0.166,0.124,0.123,0.086,0.649,0.231,0.121,0.431,0.989,0.289,0.033,0.166,0.008,0.005,0.667,0.438,0.704,0.35651860336709246
4,0.782,0.387,0.0,0.982,0.959,0.167,0.129,0.126,0.102,0.633,0.194,0.128,0.449,0.991,0.315,0.046,0.185,0.01,0.007,0.733,0.417,0.684,0.32954909133087756
5,0.889,0.521,0.024,0.758,0.547,0.17,0.125,0.128,0.109,0.742,0.202,0.125,0.379,0.961,0.504,0.168,0.367,0.018,0.012,0.667,0.447,0.712,0.3798255538400873
6,0.908,0.685,0.002,0.999,0.997,0.236,0.204,0.202,0.146,0.548,0.284,0.215,0.476,0.999,0.333,0.002,0.21,0.001,0.001,0.667,0.261,0.507,0.2567102026484188
7,0.832,0.58,0.158,0.997,0.986,0.241,0.225,0.228,0.157,0.559,0.314,0.26,0.516,0.996,0.45,0.046,0.298,0.005,0.003,0.5,0.184,0.392,0.20230002067906916
8,0.776,0.396,0.046,0.907,0.716,0.191,0.16,0.165,0.124,0.608,0.247,0.165,0.397,0.957,0.499,0.15,0.319,0.036,0.021,0.571,0.308,0.567,0.2760219603807846
9,0.928,0.255,0.01,0.876,0.829,0.034,0.019,0.019,0.014,0.946,0.017,0.019,0.06,0.91,0.604,0.079,0.501,0.004,0.004,1.0,0.867,0.962,0.6112475132746309
10,0.719,0.433,0.013,0.855,0.726,0.223,0.21,0.226,0.173,0.493,0.395,0.177,0.661,0.974,0.839,0.419,0.641,0.081,0.048,0.6,0.062,0.155,0.10839395664939243
11,0.742,0.229,0.0,0.816,0.34,0.111,0.084,0.092,0.072,0.768,0.156,0.068,0.312,0.925,0.636,0.245,0.437,0.044,0.028,0.636,0.531,0.78,0.4316523582842513
12,0.748,0.259,0.005,0.632,0.501,0.105,0.072,0.078,0.054,0.755,0.116,0.065,0.242,0.883,0.337,0.092,0.216,0.012,0.007,0.625,0.594,0.825,0.43891907395383484
13,0.955,0.254,0.0,0.37,0.191,0.038,0.022,0.022,0.019,0.942,0.04,0.022,0.108,0.848,0.244,0.106,0.174,0.011,0.008,0.75,0.847,0.955,0.6402103002950656
14,0.849,0.499,0.0,0.786,0.726,0.163,0.126,0.126,0.09,0.739,0.169,0.123,0.322,0.947,0.275,0.033,0.168,0.006,0.004,0.667,0.461,0.724,0.3743893459725516
15,0.703,0.297,0.046,0.949,0.929,0.152,0.12,0.117,0.074,0.682,0.142,0.136,0.275,0.911,0.516,0.17,0.36,0.005,0.004,0.833,0.419,0.686,0.2884659407896812
16,0.856,0.659,0.013,0.995,0.991,0.262,0.251,0.256,0.166,0.486,0.311,0.249,0.509,0.996,0.42,0.014,0.282,0.004,0.002,0.667,0.158,0.348,0.17852571647892473
17,0.634,0.332,0.0,0.907,0.863,0.197,0.177,0.153,0.103,0.616,0.2,0.118,0.507,0.986,0.899,0.236,0.785,0.013,0.011,0.8,0.235,0.47,0.2185642419038755
18,0.755,0.298,0.0,0.756,0.517,0.139,0.111,0.107,0.098,0.751,0.192,0.115,0.376,0.956,0.663,0.223,0.486,0.043,0.03,0.7,0.484,0.743,0.36908273003690983
19,0.946,0.681,0.092,0.978,0.973,0.225,0.185,0.187,0.124,0.65,0.246,0.183,0.506,0.991,0.877,0.185,0.788,0.007,0.007,1.0,0.289,0.543,0.26949890072430954
20,0.677,0.235,0.005,0.795,0.477,0.134,0.105,0.088,0.08,0.756,0.142,0.111,0.418,0.955,0.836,0.283,0.708,0.034,0.026,0.75,0.489,0.748,0.34938210269429365
21,0.926,0.244,0.014,0.591,0.419,0.04,0.024,0.022,0.02,0.923,0.045,0.03,0.096,0.88,0.523,0.208,0.406,0.018,0.012,0.667,0.846,0.954,0.6289784181683887
22,0.942,0.582,0.0,0.844,0.571,0.072,0.078,0.078,0.071,0.852,0.127,0.083,0.229,0.934,0.709,0.182,0.535,0.029,0.024,0.833,0.605,0.832,-0.13728813341374388
23,0.872,0.682,0.103,0.979,0.953,0.264,0.338,0.303,0.216,0.511,0.415,0.329,0.721,0.99,0.939,0.316,0.849,0.018,0.018,1.0,0.027,0.073,-0.06162867478736844
24,0.769,0.419,0.001,0.98,0.943,0.196,0.235,0.204,0.137,0.511,0.233,0.165,0.455,0.972,0.83,0.19,0.668,0.025,0.018,0.727,0.054,0.137,-0.051015520953934135
25,0.892,0.529,0.023,0.956,0.915,0.144,0.102,0.1,0.072,0.805,0.13,0.109,0.283,0.981,0.805,0.201,0.658,0.009,0.009,1.0,0.531,0.78,0.4241680515337718
26,0.603,0.236,0.0,0.83,0.739,0.138,0.097,0.102,0.077,0.704,0.125,0.119,0.273,0.943,0.769,0.121,0.571,0.045,0.028,0.625,0.382,0.649,0.25429766014206473
27,0.701,0.424,0.149,0.941,0.914,0.244,0.25,0.215,0.146,0.518,0.289,0.234,0.602,0.984,0.905,0.258,0.81,0.027,0.023,0.857,0.079,0.194,0.10872457363546166
28,0.808,0.299,0.04,0.833,0.756,0.119,0.085,0.086,0.069,0.804,0.128,0.078,0.298,0.962,0.857,0.233,0.757,0.009,0.008,0.875,0.564,0.805,0.4266030379404875
29,0.74,0.497,0.013,0.917,0.786,0.263,0.293,0.258,0.183,0.516,0.328,0.249,0.55,0.976,0.895,0.185,0.828,0.026,0.026,1.0,0.075,0.184,0.12693292222553812
30,0.988,0.435,0.0,0.34,0.052,0.012,0.012,0.012,0.007,0.981,0.011,0.021,0.039,0.824,0.571,0.209,0.405,0.01,0.008,0.778,0.906,0.976,-0.019316707323791142
31,0.798,0.374,0.0,0.917,0.852,0.104,0.104,0.078,0.139,0.644,0.143,0.102,0.446,0.963,0.745,0.151,0.604,0.012,0.009,0.714,0.178,0.383,-0.049393377004458006
32,0.761,0.559,0.032,0.938,0.82,0.258,0.304,0.258,0.17,0.454,0.325,0.289,0.639,0.981,0.688,0.111,0.57,0.031,0.01,0.333,0.0,0.0,-0.0031967431840103336
33,0.294,0.129,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.465,0.011,0.008,0.074,0.725,0.413,0.042,0.262,0.006,0.006,1.0,0.194,0.408,0.01950525525032204
34,0.739,0.516,0.0,0.952,0.94,0.178,0.16,0.153,0.087,0.427,0.164,0.16,0.288,0.974,0.546,0.028,0.445,0.005,0.003,0.714,0.011,0.029,0.012919211663728286
35,0.915,0.811,0.041,0.955,0.92,0.283,0.283,0.263,0.162,0.545,0.303,0.283,0.596,0.988,0.59,0.098,0.416,0.015,0.008,0.5,0.124,0.286,0.16305376861932594
