,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0,0.633,0.398,0.0,0.933,0.856,0.229,0.254,0.19,0.218,0.458,0.203,0.251,0.695,0.992,0.636,0.105,0.526,0.038,0.023,0.6,0.0,0.0,0.0
1,0.655,0.452,0.001,0.928,0.905,0.242,0.261,0.219,0.106,0.465,0.142,0.24,0.427,0.994,0.705,0.138,0.565,0.007,0.005,0.727,0.0,0.0,0.0
2,0.647,0.422,0.003,0.953,0.917,0.265,0.305,0.229,0.105,0.469,0.144,0.285,0.372,0.991,0.627,0.071,0.517,0.007,0.006,0.778,0.0,0.0,0.0
3,0.861,0.619,0.038,0.995,0.977,0.275,0.332,0.297,0.115,0.483,0.19,0.244,0.447,0.997,0.587,0.043,0.52,0.005,0.003,0.6,0.0,0.0,0.0
4,0.756,0.536,0.0,0.99,0.957,0.264,0.313,0.265,0.08,0.476,0.114,0.236,0.408,0.996,0.615,0.065,0.526,0.006,0.004,0.667,0.0,0.0,0.0
5,0.838,0.554,0.024,0.861,0.747,0.264,0.328,0.3,0.088,0.484,0.137,0.34,0.377,0.983,0.688,0.136,0.631,0.011,0.005,0.5,0.0,0.0,0.0
6,0.903,0.768,0.002,0.997,0.995,0.294,0.38,0.347,0.13,0.486,0.215,0.379,0.441,1.0,0.505,0.002,0.501,0.0,0.0,0.667,0.0,0.0,0.0
7,0.82,0.597,0.158,0.998,0.986,0.279,0.342,0.294,0.152,0.479,0.242,0.353,0.465,0.997,0.587,0.058,0.53,0.003,0.002,0.5,0.0,0.0,0.0
8,0.815,0.46,0.046,0.943,0.854,0.227,0.241,0.225,0.127,0.478,0.203,0.203,0.437,0.979,0.678,0.141,0.582,0.022,0.013,0.571,0.0,0.0,0.0
9,0.722,0.353,0.01,0.937,0.913,0.196,0.224,0.176,0.019,0.468,0.015,0.23,0.101,0.972,0.782,0.125,0.684,0.002,0.002,0.857,0.0,0.0,0.0
10,0.71,0.443,0.013,0.844,0.638,0.274,0.319,0.281,0.147,0.476,0.275,0.238,0.538,0.974,0.876,0.337,0.722,0.062,0.038,0.6,0.0,0.0,0.0
11,0.646,0.315,0.0,0.893,0.642,0.222,0.249,0.16,0.06,0.465,0.104,0.171,0.309,0.967,0.82,0.205,0.687,0.024,0.016,0.636,0.0,0.0,0.0
12,0.66,0.33,0.005,0.77,0.686,0.221,0.25,0.179,0.047,0.449,0.078,0.171,0.252,0.959,0.689,0.13,0.573,0.006,0.004,0.625,0.0,0.0,0.0
13,0.508,0.279,0.0,0.678,0.544,0.151,0.169,0.096,0.022,0.46,0.031,0.09,0.142,0.954,0.591,0.079,0.552,0.006,0.004,0.625,0.0,0.0,0.0
14,0.744,0.526,0.0,0.878,0.839,0.231,0.267,0.219,0.067,0.46,0.097,0.229,0.281,0.98,0.538,0.036,0.525,0.003,0.002,0.667,0.0,0.0,0.0
15,0.69,0.349,0.046,0.968,0.95,0.225,0.259,0.208,0.046,0.457,0.074,0.174,0.222,0.966,0.67,0.149,0.612,0.003,0.002,0.667,0.0,0.0,0.0
16,0.873,0.723,0.013,0.992,0.989,0.294,0.379,0.337,0.127,0.483,0.203,0.343,0.424,0.997,0.538,0.013,0.508,0.002,0.002,0.667,0.0,0.0,0.0
17,0.651,0.377,0.0,0.932,0.897,0.227,0.256,0.198,0.061,0.475,0.097,0.16,0.381,0.991,0.906,0.228,0.802,0.009,0.007,0.8,0.0,0.0,0.0
18,0.664,0.315,0.0,0.862,0.693,0.173,0.184,0.145,0.081,0.47,0.128,0.213,0.394,0.978,0.804,0.177,0.71,0.024,0.014,0.6,0.0,0.0,0.0
19,0.934,0.758,0.092,0.986,0.976,0.303,0.406,0.362,0.094,0.495,0.144,0.288,0.432,0.995,0.913,0.182,0.856,0.005,0.005,1.0,0.0,0.0,0.0
20,0.627,0.332,0.005,0.885,0.643,0.206,0.228,0.167,0.063,0.471,0.091,0.181,0.341,0.977,0.901,0.251,0.829,0.019,0.014,0.75,0.0,0.0,0.0
21,0.758,0.429,0.014,0.791,0.667,0.27,0.361,0.232,0.031,0.476,0.134,0.176,0.29,0.972,0.793,0.188,0.696,0.009,0.004,0.444,0.0,0.0,0.0
