,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0,0.598,0.201,0.0,0.938,0.562,0.405,0.324,0.287,0.136,0.41,0.25,0.293,0.639,0.952,0.642,0.152,0.457,0.188,0.006,0.033,0.03,0.08,0.07566878165201515
1,0.532,0.186,0.0,0.966,0.779,0.328,0.172,0.255,0.089,0.378,0.182,0.177,0.465,0.985,0.533,0.181,0.353,0.061,0.001,0.016,0.265,0.512,0.1975815902295614
2,,0.139,,0.915,0.637,0.24,0.096,0.101,0.064,0.681,0.116,0.091,0.417,0.963,0.218,0.044,0.125,0.088,0.003,0.033,0.555,0.798,0.43407230193745605
3,0.804,0.294,0.0,0.987,0.905,0.267,0.224,0.189,0.095,0.669,0.187,0.128,0.481,0.991,0.339,0.074,0.206,0.033,0.001,0.033,0.438,0.704,0.3461870195081243
4,0.782,0.286,0.0,0.973,0.85,0.256,0.457,0.16,0.089,0.658,0.184,0.13,0.556,0.992,0.429,0.106,0.267,0.041,0.003,0.066,0.417,0.684,0.3504411879655321
5,0.833,0.267,0.0,0.758,0.19,0.299,0.829,0.193,0.104,0.71,0.187,0.138,0.3,0.972,0.474,0.144,0.315,0.113,0.003,0.027,0.447,0.712,0.37443417159712283
6,0.897,0.61,0.0,0.998,0.989,0.493,0.291,0.214,0.151,0.43,0.299,0.233,0.526,0.999,0.333,0.002,0.21,0.003,0.0,0.048,0.261,0.507,0.25728137392048855
7,0.832,0.494,0.001,0.957,0.904,0.776,0.255,0.257,0.168,0.497,0.309,0.293,0.51,0.994,0.49,0.074,0.334,0.018,0.001,0.048,0.184,0.392,0.21065337348234253
8,0.776,0.21,0.0,0.897,0.021,0.481,0.211,0.201,0.144,0.576,0.304,0.258,0.428,0.973,0.737,0.31,0.543,0.201,0.005,0.026,0.308,0.567,0.2844352439973303
9,0.928,0.118,0.0,0.876,0.608,0.635,0.613,0.021,0.016,0.937,0.025,0.02,0.057,0.952,0.264,0.132,0.191,0.019,0.001,0.026,0.867,0.962,0.5744340447092701
10,0.719,0.227,0.0,0.855,0.024,0.967,0.355,0.476,0.194,0.397,0.387,0.282,0.54,0.976,0.746,0.31,0.567,0.315,0.008,0.026,0.062,0.155,0.10098203092886765
11,0.732,0.165,0.0,0.76,0.008,0.264,0.096,0.1,0.086,0.756,0.184,0.1,0.252,0.94,0.743,0.342,0.552,0.148,0.004,0.027,0.531,0.78,0.44112323072465065
12,0.748,0.177,0.0,0.632,0.249,0.357,0.171,0.361,0.07,0.679,0.131,0.085,0.216,0.951,0.35,0.127,0.237,0.054,0.001,0.027,0.594,0.825,0.45195457732623856
13,0.955,0.107,0.0,0.37,0.0,0.114,0.026,0.091,0.02,0.904,0.044,0.022,0.066,0.803,0.142,0.053,0.095,0.05,0.001,0.028,0.847,0.955,0.6394046141512195
14,0.793,0.275,0.0,0.745,0.508,0.235,0.141,0.127,0.094,0.816,0.196,0.13,0.307,0.982,0.397,0.115,0.27,0.035,0.001,0.027,0.461,0.724,0.3846359097151613
15,0.703,0.196,0.0,0.909,0.722,0.973,0.162,0.572,0.107,0.659,0.205,0.146,0.398,0.993,0.745,0.292,0.562,0.029,0.001,0.027,0.419,0.686,0.35076499354751545
16,0.802,0.447,0.0,0.979,0.904,0.323,0.293,0.271,0.175,0.423,0.328,0.28,0.54,0.995,0.562,0.142,0.41,0.022,0.001,0.026,0.158,0.348,0.19150560641631834
17,0.586,0.287,0.0,0.907,0.82,0.205,0.208,0.164,0.126,0.442,0.223,0.165,0.501,0.985,0.866,0.297,0.733,0.027,0.003,0.1,0.235,0.47,0.2244153963640323
18,0.755,0.24,0.0,0.756,0.38,0.298,0.184,0.124,0.09,0.679,0.171,0.107,0.38,0.962,0.857,0.234,0.719,0.085,0.009,0.1,0.484,0.743,0.3527124185437183
