,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0,0.598,0.201,0.0,0.938,0.562,0.161,0.151,0.105,0.153,0.435,0.306,0.201,0.645,0.954,0.642,0.152,0.457,0.188,0.068,0.361,0.03,0.08,0.07244713849238478
1,0.532,0.186,0.0,0.966,0.779,0.137,0.116,0.074,0.088,0.541,0.169,0.112,0.514,0.984,0.533,0.181,0.353,0.061,0.025,0.41,0.265,0.512,0.20905671789793887
2,,0.139,,0.915,0.637,0.085,0.059,0.054,0.054,0.722,0.109,0.077,0.424,0.959,0.218,0.044,0.125,0.088,0.036,0.41,0.555,0.798,0.3682453715723396
3,0.804,0.294,0.0,0.987,0.905,0.149,0.118,0.112,0.085,0.695,0.165,0.113,0.481,0.989,0.339,0.074,0.206,0.033,0.015,0.459,0.438,0.704,0.3411619513827529
4,0.782,0.286,0.0,0.973,0.85,0.153,0.118,0.107,0.089,0.668,0.177,0.111,0.57,0.987,0.429,0.106,0.267,0.041,0.017,0.41,0.417,0.684,0.32666910931254517
5,0.833,0.255,0.0,0.758,0.19,0.143,0.113,0.107,0.109,0.743,0.205,0.098,0.593,0.967,0.474,0.144,0.315,0.113,0.034,0.297,0.447,0.712,0.3978001597679561
6,0.897,0.61,0.0,0.998,0.989,0.23,0.201,0.199,0.135,0.578,0.259,0.2,0.679,0.999,0.333,0.002,0.21,0.003,0.001,0.381,0.261,0.507,0.24763687517056637
7,0.832,0.494,0.001,0.957,0.904,0.238,0.222,0.222,0.148,0.562,0.275,0.228,0.605,0.995,0.49,0.074,0.334,0.018,0.006,0.333,0.184,0.392,0.19252616490998287
8,0.776,0.21,0.0,0.897,0.021,0.151,0.129,0.134,0.124,0.654,0.222,0.175,0.567,0.956,0.737,0.31,0.543,0.201,0.052,0.256,0.308,0.567,0.2944565994604759
9,0.928,0.116,0.0,0.876,0.608,0.03,0.017,0.017,0.013,0.947,0.023,0.019,0.106,0.921,0.264,0.132,0.191,0.019,0.007,0.368,0.867,0.962,0.6051332654085463
10,0.719,0.218,0.0,0.855,0.024,0.165,0.161,0.129,0.169,0.491,0.298,0.226,0.798,0.971,0.746,0.31,0.567,0.315,0.089,0.282,0.062,0.155,0.1087578957755328
11,0.732,0.165,0.0,0.76,0.008,0.084,0.06,0.056,0.082,0.775,0.168,0.056,0.392,0.947,0.743,0.342,0.552,0.148,0.044,0.297,0.531,0.78,0.3653407293950392
12,0.748,0.176,0.0,0.632,0.249,0.093,0.066,0.06,0.054,0.792,0.096,0.066,0.339,0.937,0.35,0.127,0.237,0.054,0.018,0.324,0.594,0.825,0.4437693593231403
13,0.955,0.107,0.0,0.37,0.0,0.032,0.019,0.018,0.02,0.94,0.042,0.025,0.175,0.872,0.142,0.053,0.095,0.05,0.014,0.278,0.847,0.955,0.6273390886898069
