kDN,DS,DCP,TD_P,TD_U,CL,MV,CB,F1,N1,N2,LSC,LSR,H,U
0.1,0.9609375,0.2142857142857143,1.0,0.6,0.09507627146257769,0.0,0.41896024464831805,0.16216216216216217,0.0,0.20730979404346073,0.971830985915493,0.958045724921273,0.0,0.9719298245614035
0.0,0.0,0.020689655172413834,1.0,0.4,0.09507619264613343,0.0,0.41896024464831805,0.4864864864864865,0.0,0.058367565860773074,0.8908450704225352,0.9589669330265872,0.0,0.8842105263157894
0.3,0.9765625,0.2142857142857143,1.0,0.3,0.3116885305347227,0.0,0.41896024464831805,1.0,0.0,0.4588271361486389,0.9929577464788732,0.8926017320753876,0.0,0.9964912280701754
0.8,0.953125,0.7857142857142857,1.0,0.7,0.9049224572096106,0.8526315789473684,0.9143730886850152,0.918918918918919,0.0,0.4780962355159428,0.975609756097561,0.9412897909343829,0.007017543859649123,1.0
0.1,0.9765625,0.2142857142857143,1.0,0.7,0.09508216724457208,0.0,0.41896024464831805,0.972972972972973,0.0,0.4635510810713931,0.9964788732394366,0.9332727095316964,0.0,0.9964912280701754
0.0,0.84375,0.2142857142857143,1.0,0.5,0.0950786796312113,0.0,0.41896024464831805,0.8918918918918919,0.0,0.2941679550382784,0.9647887323943662,0.926225353066838,0.0,0.9789473684210527
0.0,0.0,0.020689655172413834,1.0,0.4,0.09507548321159098,0.0,0.41896024464831805,0.5675675675675675,0.0,0.146769700258372,0.8838028169014085,0.9314030324517466,0.0,0.9438596491228071
0.8,0.96875,0.7857142857142857,1.0,0.8,0.9049230327347487,0.8526315789473684,0.9143730886850152,1.0,0.6,0.6440382795335459,1.0,0.9722377519011951,0.042105263157894736,0.9523809523809523
0.1,0.0,0.020689655172413834,1.0,0.4,0.09507681763803777,0.0,0.41896024464831805,0.7297297297297297,0.0,0.3647219115687095,0.9788732394366197,0.9737905849027059,0.0,0.9192982456140351
0.1,0.0,0.020689655172413834,1.0,0.4,0.09509932282478473,0.0,0.41896024464831805,0.918918918918919,0.0,0.43791441951774357,0.9753521126760564,0.9321098258367131,0.0,0.9894736842105263
0.6,0.9375,0.7857142857142857,1.0,0.5,0.6881678836051852,0.8526315789473684,0.9143730886850152,0.8648648648648649,0.3333333333333333,0.5607480950808394,1.0,0.8934359149670347,0.007017543859649123,0.9761904761904762
0.0,0.0,0.020689655172413834,1.0,0.4,0.09507583004896525,0.0,0.41896024464831805,0.8648648648648649,0.0,0.33522864831554844,0.8626760563380281,0.9370999423340888,0.0,0.9403508771929825
0.2,0.9375,0.2142857142857143,1.0,0.8,0.09508303822863584,0.0,0.41896024464831805,0.8918918918918919,0.0,0.3171679948535022,0.9859154929577465,0.9501818077149278,0.0,0.9614035087719298
0.2,0.90625,0.020689655172413834,1.0,0.5,0.09507552990847512,0.0,0.41896024464831805,0.8378378378378378,0.0,0.3549997482286944,0.971830985915493,0.9445974449043348,0.0,0.9438596491228071
0.0,0.0,0.020689655172413834,1.0,0.4,0.09507548257846521,0.0,0.41896024464831805,0.2702702702702703,0.0,0.2511791728331447,0.9647887323943662,0.9641637993786228,0.0,0.9122807017543859
0.0,0.0,0.020689655172413834,1.0,0.4,0.09507578632860281,0.0,0.41896024464831805,0.7027027027027027,0.0,0.05059315779990259,0.9612676056338029,0.9673974866295834,0.0,0.9298245614035088
0.2,0.9609375,0.2142857142857143,1.0,0.6,0.09507898744142318,0.0,0.41896024464831805,0.9459459459459459,0.0,0.45020064443630825,0.9894366197183099,0.9377490973212139,0.0,0.9859649122807017
0.0,0.0,0.020689655172413834,1.0,0.4,0.09507552125980867,0.0,0.41896024464831805,0.7027027027027027,0.0,0.258467815419422,0.8133802816901409,0.9139553903070708,0.0,0.9473684210526316
0.2,0.6640625,0.2142857142857143,1.0,0.4,0.09508233860979942,0.0,0.41896024464831805,0.918918918918919,0.0,0.40909569563501536,0.9788732394366197,0.9571484113002965,0.0,0.9754385964912281
0.2,0.8828125,0.2142857142857143,1.0,0.5,0.09507915545947676,0.0,0.41896024464831805,0.8918918918918919,0.0,0.07937731887824173,0.9929577464788732,0.9597980336765571,0.0,0.9719298245614035
0.1,0.0,0.020689655172413834,1.0,0.4,0.09507626881780018,0.0,0.41896024464831805,0.8648648648648649,0.0,0.3724732343051298,0.9823943661971831,0.9723588033203752,0.0,0.9228070175438596
