kDN,DS,DCP,TD_P,TD_U,CL,MV,CB,F1,N1,N2,LSC,LSR,H,U
0.0,0.0,0.04932735426008972,0.25,0.5,0.05164257021251739,0.0,0.39999999999999997,0.3783783783783784,0.0,0.3140122742481607,0.9464285714285714,0.902489961821785,0.0,0.9422222222222222
0.2,0.9545454545454546,0.04932735426008972,0.25,0.5,0.2868342314569754,0.0,0.39999999999999997,0.8108108108108109,1.0,0.683266942618091,1.0,0.8890221295748014,0.04,0.9911111111111112
0.1,0.13636363636363635,0.04932735426008972,0.25,0.75,0.28241344923080125,0.0,0.39999999999999997,0.8378378378378378,0.0,0.45295861000904425,0.9642857142857143,0.7056388025712832,0.0,0.9555555555555556
0.1,0.7954545454545454,0.04932735426008972,0.25,0.875,0.05164258214647666,0.0,0.39999999999999997,0.5945945945945946,0.5,0.3799802600285326,0.9955357142857143,0.8900738755837913,0.0,0.9866666666666667
0.0,0.7954545454545454,0.04932735426008972,0.25,0.875,0.05164260221330741,0.0,0.39999999999999997,0.8648648648648649,0.0,0.3220161925954165,0.9464285714285714,0.891332330040362,0.0,0.9555555555555556
0.2,0.13636363636363635,0.04932735426008972,0.25,0.75,0.07017894503396704,0.0,0.39999999999999997,0.8648648648648649,0.5,0.5264069545692182,1.0,0.8609594291412612,0.04,0.9511111111111111
0.0,0.0,0.04932735426008972,0.25,0.5,0.05164257020449603,0.0,0.39999999999999997,0.05405405405405406,0.0,0.234443562773342,0.8482142857142857,0.856575758235535,0.0,0.9511111111111111
0.1,0.0,0.04932735426008972,0.25,0.5,0.05164257020481822,0.0,0.39999999999999997,0.13513513513513514,0.0,0.32351969610802633,0.9642857142857143,0.8968539599816557,0.0,0.9377777777777778
0.0,0.13636363636363635,0.04932735426008972,0.25,0.75,0.055395701996349356,0.0,0.39999999999999997,0.8918918918918919,0.0,0.35633626274699337,0.8303571428571428,0.7162082696610743,0.0,0.9155555555555556
0.1,0.13636363636363635,0.04932735426008972,0.25,0.75,0.05164257021289731,0.0,0.39999999999999997,0.4594594594594595,0.0,0.26048102078444924,0.9776785714285714,0.9272120514324501,0.0,0.9377777777777778
0.5,0.9431818181818182,0.25,1.0,0.625,0.7130513602582711,0.8888888888888888,0.9333333333333332,0.8918918918918919,0.5,0.4791158965650527,0.9166666666666666,0.7728255042084905,0.013333333333333334,0.92
0.0,0.0,0.04932735426008972,0.25,0.5,0.05164257020914398,0.0,0.39999999999999997,0.21621621621621623,0.0,0.24106966891088588,0.7901785714285714,0.86311751046104,0.0,0.9288888888888889
0.0,0.13636363636363635,0.04932735426008972,0.25,0.75,0.286647664801599,0.0,0.39999999999999997,0.8648648648648649,0.0,0.3505764136534487,0.8705357142857143,0.5045952243881757,0.0,0.9733333333333334
0.2,0.13636363636363635,0.04932735426008972,0.25,0.75,0.05164462105962775,0.0,0.39999999999999997,0.8648648648648649,0.0,0.35469460870835545,0.9910714285714286,0.922408814338287,0.0,0.9822222222222222
0.0,0.0,0.04932735426008972,0.25,0.5,0.05164257021347518,0.0,0.39999999999999997,0.35135135135135137,0.0,0.27041656878463505,0.8080357142857143,0.8774191694779094,0.0,0.8977777777777778
0.0,0.13636363636363635,0.04932735426008972,0.25,0.75,0.05164257031203945,0.0,0.39999999999999997,0.8108108108108109,0.0,0.23216345624004497,0.9553571428571429,0.9157632583524878,0.0,0.9466666666666667
0.1,0.13636363636363635,0.04932735426008972,0.25,0.75,0.05164257891862667,0.0,0.39999999999999997,0.7297297297297297,0.0,0.29663874756154773,0.96875,0.8937820240349117,0.0,0.9244444444444444
0.0,0.0,0.04932735426008972,0.25,0.5,0.051642570217965034,0.0,0.39999999999999997,0.35135135135135137,0.0,0.1938553476244822,0.9241071428571429,0.9385650044077916,0.0,0.8088888888888889
0.0,0.9204545454545454,0.04932735426008972,0.25,1.0,0.05164266226992864,0.0,0.39999999999999997,0.8378378378378378,0.0,0.36995964910464163,0.9285714285714286,0.7606543709091864,0.0,0.9688888888888889
0.7,0.9204545454545454,0.0,0.75,0.375,0.7130513602582711,0.8888888888888888,0.9333333333333332,0.7837837837837838,1.0,0.5054424160113848,1.0,0.6929066632949389,0.0044444444444444444,1.0
0.0,0.13636363636363635,0.04932735426008972,0.25,0.75,0.05164257122464755,0.0,0.39999999999999997,0.6756756756756757,0.0,0.27713371453367,0.8883928571428571,0.8552477009403412,0.0,0.9333333333333333
0.0,0.9204545454545454,0.04932735426008972,0.25,1.0,0.051642572031806,0.0,0.39999999999999997,0.8648648648648649,0.0,0.37277538992821746,0.90625,0.8897579807750178,0.0,0.9422222222222222
0.9,0.9886363636363636,0.9506726457399103,0.25,0.375,0.948334262638831,0.8888888888888888,0.9333333333333332,0.8648648648648649,1.0,0.7126682984088888,1.0,0.9786807191814096,0.04888888888888889,1.0
0.0,0.0,0.04932735426008972,0.25,0.5,0.051642570298279344,0.0,0.39999999999999997,0.8378378378378378,0.0,0.33997538959323614,0.9553571428571429,0.909190625229776,0.0,0.8622222222222222
0.0,0.0,0.04932735426008972,0.25,0.5,0.05164257032095032,0.0,0.39999999999999997,0.8378378378378378,0.0,0.33409651003255547,0.875,0.8817821640099981,0.0,0.8755555555555555
0.1,0.7954545454545454,0.04932735426008972,0.25,0.875,0.05164257074450196,0.0,0.39999999999999997,0.5945945945945946,0.0,0.4445865356825561,0.9955357142857143,0.9428539333342073,0.0,0.9555555555555556
0.2,0.9545454545454546,0.04932735426008972,0.25,0.5,0.05171665942697279,0.0,0.39999999999999997,0.8648648648648649,0.6666666666666666,0.6045350259891666,1.0,0.9715426819925692,0.04,0.9911111111111112
0.5,0.9204545454545454,0.0,0.75,0.375,0.7130513602589108,0.8888888888888888,0.9333333333333332,0.918918918918919,0.0,0.3843487559329011,0.9583333333333334,0.8686026427033278,0.0,0.92
0.0,0.13636363636363635,0.04932735426008972,0.25,0.75,0.05166768085837825,0.0,0.39999999999999997,0.7837837837837838,0.0,0.4382369730637724,0.8928571428571429,0.7332649202832785,0.0,0.9777777777777777
0.0,0.0,0.04932735426008972,0.25,0.5,0.051642570221991146,0.0,0.39999999999999997,0.40540540540540543,0.0,0.2875359856772015,0.9285714285714286,0.9325730265275846,0.0,0.8488888888888889
0.0,0.13636363636363635,0.04932735426008972,0.25,0.75,0.05164257101488501,0.0,0.39999999999999997,0.9459459459459459,0.0,0.37124495899517174,0.8973214285714286,0.8555058629760172,0.0,0.9111111111111111
0.2,0.13636363636363635,0.04932735426008972,0.25,0.75,0.051642570269930466,0.0,0.39999999999999997,0.5945945945945946,0.5,0.4055235953234968,0.9732142857142857,0.9413957088001433,0.04,0.88
0.1,0.13636363636363635,0.04932735426008972,0.25,0.75,0.05164268180606435,0.0,0.39999999999999997,0.7837837837837838,0.0,0.4345786996628498,0.9776785714285714,0.8865698437360339,0.0,0.9333333333333333
0.0,0.0,0.04932735426008972,0.25,0.5,0.05164257022103658,0.0,0.39999999999999997,0.43243243243243246,0.0,0.2576163973085849,0.9196428571428571,0.9324400297940474,0.0,0.84
0.0,0.0,0.04932735426008972,0.25,0.5,0.05164257020320173,0.0,0.39999999999999997,0.40540540540540543,0.0,0.29448873080534343,0.8035714285714286,0.7795079011043128,0.0,0.9688888888888889
0.1,0.7954545454545454,0.04932735426008972,0.25,0.875,0.051642583943210085,0.0,0.39999999999999997,0.6216216216216216,0.0,0.4509130458407872,0.9866071428571429,0.9162153658530623,0.0,0.9911111111111112
0.4,0.13636363636363635,0.04932735426008972,0.25,0.75,0.286948636768825,0.0,0.39999999999999997,0.9459459459459459,0.5,0.6016816142721038,1.0,0.8954609643685254,0.12,0.9688888888888889
0.0,0.0,0.04932735426008972,0.25,0.5,0.051642570208378036,0.0,0.39999999999999997,0.3783783783783784,0.0,0.27965283682833497,0.90625,0.9086454477396467,0.0,0.8933333333333333
0.0,0.7954545454545454,0.04932735426008972,0.25,0.875,0.051642714623659436,0.0,0.39999999999999997,0.8378378378378378,0.0,0.3322982659704836,0.9285714285714286,0.8775429717722507,0.0,0.9822222222222222
0.0,0.0,0.04932735426008972,0.25,0.5,0.051642570204754934,0.0,0.39999999999999997,0.08108108108108109,0.0,0.19336780394510156,0.8214285714285714,0.8871621823522602,0.0,0.9155555555555556
0.0,0.13636363636363635,0.04932735426008972,0.25,0.75,0.05164257028106356,0.0,0.39999999999999997,0.5945945945945946,0.0,0.40108876122698645,0.9375,0.9359296099253142,0.0,0.8977777777777778
0.0,0.0,0.04932735426008972,0.25,0.5,0.05164257020251262,0.0,0.39999999999999997,0.4864864864864865,0.0,0.19943582138163607,0.8660714285714286,0.7563367734078836,0.0,0.9733333333333334
