kDN,DS,DCP,TD_P,TD_U,CL,MV,CB,F1,N1,N2,LSC,LSR,H,U
0.1,0.0,0.028346456692913358,1.0,0.15,0.13323868511489945,0.0,0.4156378600823045,0.6756756756756757,0.0,0.3123090740300002,0.9902386117136659,0.9749606181249934,0.0,0.9479956663055255
0.0,0.0,0.028346456692913358,1.0,0.15,0.13214235891383352,0.0,0.4156378600823045,0.4594594594594595,0.0,0.2126713808846019,0.9229934924078091,0.9643797008879113,0.0,0.8483206933911159
0.1,0.0,0.028346456692913358,1.0,0.15,0.13335893491213424,0.0,0.4156378600823045,0.8918918918918919,0.0,0.47693347615287396,0.9967462039045553,0.9522706233496672,0.0,0.962080173347779
0.0,0.0,0.028346456692913358,1.0,0.15,0.13182799782707555,0.0,0.4156378600823045,0.43243243243243246,0.0,0.18054987654387444,0.8026030368763557,0.9205733159798498,0.0,0.9360780065005417
0.7,0.9679802955665024,0.7320574162679425,1.0,0.4,0.8665493551346464,0.8591549295774648,0.9176954732510287,0.972972972972973,1.0,0.5178510012077486,1.0,0.616230266276721,0.0,1.0
0.2,0.9729064039408867,0.26794258373205737,1.0,0.5,0.13345152182477427,0.0,0.4156378600823045,1.0,0.0,0.04404960542882852,0.9967462039045553,0.9372197940898789,0.0,0.9989165763813651
0.0,0.0,0.028346456692913358,1.0,0.15,0.13343852383858446,0.0,0.4156378600823045,0.918918918918919,0.0,0.36548502510429204,0.9327548806941431,0.9128868899316313,0.0,0.9436619718309859
0.0,0.0,0.028346456692913358,1.0,0.15,0.13337098836663885,0.0,0.4156378600823045,0.8918918918918919,0.0,0.38276246620506604,0.9848156182212582,0.9410276515400587,0.0,0.9512459371614301
0.1,0.9605911330049262,0.028346456692913358,1.0,0.25,0.13342521644613792,0.0,0.4156378600823045,0.8648648648648649,0.0,0.46576772510250886,0.9924078091106291,0.9627405049938766,0.0,0.9848320693391116
0.4,0.9876847290640394,0.26794258373205737,1.0,0.5,0.13345231204661312,0.0,0.4156378600823045,0.972972972972973,0.0,0.37797788706404445,0.9956616052060737,0.8840267421879647,0.0,0.9978331527627302
0.0,0.0,0.028346456692913358,1.0,0.15,0.13254486522887488,0.0,0.4156378600823045,0.5135135135135135,0.0,0.1425116995650243,0.8600867678958786,0.9557935634913931,0.0,0.8634886240520043
0.0,0.0,0.028346456692913358,1.0,0.15,0.1321672987071143,0.0,0.4156378600823045,0.3783783783783784,0.0,0.16009209862363283,0.920824295010846,0.9636097385922743,0.0,0.8819068255687974
0.5,0.9679802955665024,0.26794258373205737,1.0,0.8,0.13345171125803934,0.0,0.4156378600823045,1.0,0.6666666666666666,0.533867627913748,1.0,0.9680021213683961,0.015384615384615385,0.9989165763813651
0.2,0.9852216748768473,0.26794258373205737,1.0,0.95,0.13345142477476024,0.0,0.4156378600823045,0.8918918918918919,0.0,0.4893470963425536,0.9978308026030369,0.9508623835888224,0.0,0.9989165763813651
0.0,0.0,0.028346456692913358,1.0,0.15,0.05289634519694186,0.0,0.4156378600823045,0.8918918918918919,0.0,0.3577267890475364,0.955531453362256,0.8434516710965207,0.0,0.9859154929577465
0.5,0.9384236453201971,0.26794258373205737,1.0,0.4,0.13345001139924761,0.0,0.4156378600823045,0.8378378378378378,1.0,0.5337197810319227,1.0,0.9258827744248979,0.0,0.9989165763813651
0.0,0.9285714285714286,0.26794258373205737,1.0,0.1,0.13329600403760167,0.0,0.4156378600823045,0.8108108108108109,0.0,0.3642054962357478,0.9891540130151844,0.9594931964322435,0.0,0.9869989165763814
0.3,0.9384236453201971,0.26794258373205737,1.0,0.4,0.13345074670041812,0.0,0.4156378600823045,0.9459459459459459,0.0,0.11357676871868305,0.9924078091106291,0.9437249825154473,0.0,0.9956663055254604
0.0,0.9876847290640394,0.26794258373205737,1.0,0.85,0.05443148549907317,0.0,0.4156378600823045,0.972972972972973,0.0,0.282469198411886,0.9804772234273319,0.8756972952331592,0.0,0.9848320693391116
0.0,0.0,0.028346456692913358,1.0,0.15,0.13343738915578418,0.0,0.4156378600823045,0.8918918918918919,0.0,0.32586300228423326,0.9229934924078091,0.9263487697156041,0.0,0.9295774647887324
0.9,0.9950738916256158,0.7320574162679425,1.0,0.45,0.8665772234599607,0.8591549295774648,0.9176954732510287,0.8648648648648649,1.0,0.5852786129111547,1.0,0.9143834682015692,0.014084507042253521,1.0
