kDN,DS,DCP,TD_P,TD_U,CL,MV,CB,F1,N1,N2,LSC,LSR,H,U
0.2,0.9925925925925926,0.7631578947368421,1.0,0.2222222222222222,0.10087494717705014,0.0,0.4264083723001559,0.819672131147541,1.0,0.5258727700479701,1.0,0.8372892832996048,0.0,1.0
0.0,0.9074074074074074,0.08233276157804459,0.5,0.6666666666666666,0.10026973406404638,0.0,0.4264083723001559,0.22950819672131148,0.0,0.27014596993442375,0.9790209790209791,0.9711054568997972,0.0,0.9658385093167702
0.2,0.8851851851851852,0.08233276157804459,0.5,0.5555555555555556,0.10026973416199603,0.0,0.4264083723001559,0.7213114754098361,0.0,0.34142469344633497,0.9968919968919969,0.9036921318102427,0.0,0.9992236024844721
0.9,0.9851851851851852,0.7133105802047781,1.0,0.7777777777777778,0.8997302659359536,0.8377329192546584,0.9069249610331775,0.4918032786885246,1.0,0.5357389780449466,1.0,0.951429831654797,0.004658385093167702,1.0
0.0,0.962962962962963,0.2866894197952219,1.0,0.2222222222222222,0.10026973406404638,0.0,0.4264083723001559,0.7377049180327869,0.0,0.4367286682788817,0.9891219891219891,0.813035357578004,0.0,0.9992236024844721
0.4,1.0,0.23684210526315785,1.0,0.3888888888888889,0.8994709930795438,0.8377329192546584,0.9069249610331775,0.6885245901639344,0.0,0.47974776392146246,0.9903846153846154,0.8601185258031495,0.0,0.9952153110047847
0.8,0.9925925925925926,0.7133105802047781,1.0,0.5555555555555556,0.5588097118131778,0.8377329192546584,0.9069249610331775,0.6557377049180327,1.0,0.5354152746580556,1.0,0.8927010399006291,0.002329192546583851,1.0
0.0,0.0,0.08233276157804459,0.5,0.3888888888888889,0.10026973406404638,0.0,0.4264083723001559,0.2786885245901639,0.0,0.0,0.9728049728049728,0.9882773844070322,0.0,0.9239130434782609
0.1,0.7407407407407407,0.08233276157804459,0.5,0.6111111111111112,0.10026973406404638,0.0,0.4264083723001559,0.3770491803278688,0.0,0.17661013607642284,0.9984459984459985,0.9786164961006333,0.0,0.985248447204969
0.1,0.9777777777777777,0.08233276157804459,0.5,0.6111111111111112,0.10026973406404638,0.0,0.4264083723001559,0.26229508196721313,0.25,0.4312937308966237,0.9953379953379954,0.9959040719299722,0.004784688995215311,0.9666149068322981
0.0,0.8037037037037037,0.08233276157804459,0.5,0.4444444444444444,0.10026973406404638,0.0,0.4264083723001559,0.2786885245901639,0.0,0.1179053127434363,0.9689199689199689,0.9866645645015398,0.0,0.9402173913043478
1.0,0.9925925925925926,0.9176672384219554,0.5,0.7777777777777778,0.8997302659359536,0.8377329192546584,0.9069249610331775,0.4262295081967213,1.0,0.5775166249834416,1.0,0.9839630358592775,0.021739130434782608,1.0
0.1,0.0,0.08233276157804459,0.5,0.3888888888888889,0.10026973406404638,0.0,0.4264083723001559,0.4918032786885246,0.0,0.07838372996269816,0.9976689976689976,0.9507637081609198,0.0,0.9914596273291926
0.1,0.3407407407407408,0.08233276157804459,0.5,0.5555555555555556,0.10026973406404649,0.0,0.4264083723001559,0.5081967213114754,0.5,0.46132473807607555,0.9968919968919969,0.9218063184956997,0.0,0.9992236024844721
1.0,0.9777777777777777,0.7133105802047781,1.0,0.5555555555555556,0.8997302659357538,0.8377329192546584,0.9069249610331775,0.7704918032786885,1.0,0.6381806759852888,1.0,0.9323148936812928,0.009316770186335404,0.9952153110047847
0.3,0.962962962962963,0.2866894197952219,1.0,0.2222222222222222,0.10026973406461259,0.0,0.4264083723001559,0.7540983606557377,0.3333333333333333,0.4988654364224271,0.9992229992229992,0.9038177028575196,0.004784688995215311,0.9968944099378882
0.0,0.0,0.08233276157804459,0.5,0.3888888888888889,0.10026973406404638,0.0,0.4264083723001559,0.4918032786885246,0.0,0.3615027207545708,0.9176379176379177,0.9605805753546798,0.0,0.9619565217391304
1.0,0.9851851851851852,0.9176672384219554,0.5,0.3888888888888889,0.8997302659359536,0.8377329192546584,0.9069249610331775,0.36065573770491804,1.0,0.6555683809030879,1.0,0.9830798469976741,0.017080745341614908,1.0
0.0,0.7703703703703704,0.08233276157804459,0.5,0.3888888888888889,0.10026973406404638,0.0,0.4264083723001559,0.6557377049180327,0.0,0.35798962136449464,0.9471639471639471,0.8425997984271705,0.0,0.9961180124223602
0.5,0.9888888888888889,0.7133105802047781,1.0,0.6666666666666666,0.5588097115292443,0.8377329192546584,0.9069249610331775,0.819672131147541,0.0,0.46080489326028284,0.9903846153846154,0.7519284680635898,0.0,1.0
1.0,0.9851851851851852,0.9176672384219554,0.5,0.6111111111111112,0.8997302659359536,0.8377329192546584,0.9069249610331775,0.4426229508196721,1.0,0.5883444216142094,1.0,0.9542578685082445,0.005434782608695652,1.0
0.1,0.3407407407407408,0.08233276157804459,0.5,0.5555555555555556,0.10026973406404638,0.0,0.4264083723001559,0.45901639344262296,0.0,0.043247826100345166,0.9968919968919969,0.9664814380035074,0.0,0.9906832298136646
0.0,0.7703703703703704,0.08233276157804459,0.5,0.3888888888888889,0.10026973406404638,0.0,0.4264083723001559,0.6721311475409836,0.0,0.37914917001197057,0.9883449883449883,0.9473176347766881,0.0,0.9790372670807453
0.0,0.7407407407407407,0.08233276157804459,0.5,0.6111111111111112,0.10026973406404638,0.0,0.4264083723001559,0.4098360655737705,0.0,0.37830847810702073,0.9875679875679876,0.9750380035570277,0.0,0.9813664596273292
0.0,0.0,0.08233276157804459,0.5,0.3888888888888889,0.10026973406404638,0.0,0.4264083723001559,0.39344262295081966,0.0,0.4026835871445884,0.8686868686868687,0.8994485353773931,0.0,0.9976708074534162
0.0,0.0,0.08233276157804459,0.5,0.3888888888888889,0.10026973406404638,0.0,0.4264083723001559,0.29508196721311475,0.0,0.33634442084958627,0.9658119658119658,0.8729940350360962,0.0,0.9992236024844721
0.0,0.3407407407407408,0.08233276157804459,0.5,0.5555555555555556,0.10026973406404638,0.0,0.4264083723001559,0.32786885245901637,0.0,0.380293370071179,0.9844599844599845,0.976071217573493,0.004784688995215311,0.9836956521739131
0.1,0.8851851851851852,0.2866894197952219,1.0,0.4444444444444444,0.438976487516208,0.0,0.4264083723001559,0.7868852459016393,0.0,0.4447170720179462,0.9961149961149961,0.8413745593612649,0.0,0.9968944099378882
0.2,0.0,0.08233276157804459,0.5,0.3888888888888889,0.10026973406404638,0.0,0.4264083723001559,0.2459016393442623,0.6666666666666666,0.4517970469598176,0.9992229992229992,0.9935940887507079,0.004784688995215311,0.9774844720496895
