kDN,DS,DCP,TD_P,TD_U,CL,MV,CB,F1,N1,N2,LSC,LSR,H,U
0.0,0.0,0.004750593824228044,0.6666666666666666,0.42857142857142855,0.02562508512794759,0.0,0.34823848238482386,0.5,0.0,0.17377963284681763,0.8020833333333334,0.8225217101481139,0.0,0.8295218295218295
0.0,0.0,0.004750593824228044,0.6666666666666666,0.42857142857142855,0.025515628896658704,0.0,0.34823848238482386,0.7,0.0,0.20611413362465203,0.525,0.7337956781088765,0.0,0.8503118503118503
1.0,0.9969788519637462,0.995249406175772,0.6666666666666666,1.0,0.9744574401169347,0.9771309771309771,0.9850948509485095,0.55,1.0,0.8508063657098315,1.0,0.953319802833397,0.3180873180873181,1.0
0.0,0.0,0.004750593824228044,0.6666666666666666,0.42857142857142855,0.025623840148208288,0.0,0.34823848238482386,0.55,0.0,0.19915747909464387,0.83125,0.7970131990978508,0.0,0.8981288981288982
0.0,0.0,0.004750593824228044,0.6666666666666666,0.42857142857142855,0.02562384344609292,0.0,0.34823848238482386,0.45,0.0,0.2682798150235931,0.9,0.8929141920876906,0.0,0.8939708939708939
0.0,0.0,0.004750593824228044,0.6666666666666666,0.42857142857142855,0.02562674595227321,0.0,0.34823848238482386,0.55,0.0,0.3003452710763279,0.8645833333333334,0.8862764186599692,0.0,0.817047817047817
0.0,0.0,0.004750593824228044,0.6666666666666666,0.42857142857142855,0.025626257339865233,0.0,0.34823848238482386,0.65,0.0,0.3209726706470306,0.9,0.9063304752292558,0.0,0.9002079002079002
0.1,0.9879154078549849,0.18518518518518523,0.3333333333333333,0.5714285714285714,0.015474619392351951,0.0,0.34823848238482386,0.8,0.5,0.5930490527908154,1.0,0.8746126440534734,0.09090909090909091,0.9916839916839917
0.0,0.0,0.004750593824228044,0.6666666666666666,0.42857142857142855,0.025573384268509303,0.0,0.34823848238482386,0.5,0.0,0.12336295431097732,0.84375,0.8682508020561868,0.0,0.8087318087318087
0.2,0.9516616314199395,0.18518518518518523,0.3333333333333333,0.42857142857142855,0.015474619383578192,0.0,0.34823848238482386,0.9,0.0,0.4121660828169924,0.9875,0.5323983501599379,0.0,1.0
0.0,0.0,0.004750593824228044,0.6666666666666666,0.42857142857142855,0.025568770681013153,0.0,0.34823848238482386,0.6,0.0,0.003838806729608013,0.8270833333333334,0.8532172652079877,0.0,0.8087318087318087
0.0,0.0,0.004750593824228044,0.6666666666666666,0.42857142857142855,0.02559160568596308,0.0,0.34823848238482386,0.4,0.0,0.17508263368819166,0.9,0.9039622685900226,0.0,0.9293139293139293
0.0,0.0,0.004750593824228044,0.6666666666666666,0.42857142857142855,0.025626745952327723,0.0,0.34823848238482386,0.75,0.0,0.3010781039805268,0.7375,0.7987790933538346,0.0,0.8773388773388773
0.0,0.9093655589123867,0.0,1.0,0.42857142857142855,0.025429147427959764,0.0,0.34823848238482386,0.7,0.0,0.377912319317971,0.9604166666666667,0.8611624408748608,0.0,0.8544698544698545
0.0,0.0,0.004750593824228044,0.6666666666666666,0.42857142857142855,0.025596059881730193,0.0,0.34823848238482386,0.55,0.0,0.22035288706604117,0.9291666666666667,0.9345105862407332,0.0,0.8586278586278586
0.0,0.0,0.004750593824228044,0.6666666666666666,0.42857142857142855,0.02559122892204757,0.0,0.34823848238482386,0.4,0.0,0.2048495937930911,0.9208333333333334,0.9435910514013215,0.0,0.83991683991684
0.0,0.0,0.004750593824228044,0.6666666666666666,0.42857142857142855,0.025595281721407792,0.0,0.34823848238482386,0.45,0.0,0.2391809173552717,0.9145833333333333,0.9274390279988256,0.0,0.8773388773388773
0.0,0.7915407854984894,0.004750593824228044,0.6666666666666666,0.5714285714285714,0.025626745952327723,0.0,0.34823848238482386,0.75,0.0,0.32325314140708405,0.5958333333333333,0.7078297435832694,0.0,0.9022869022869022
0.0,0.0,0.004750593824228044,0.6666666666666666,0.42857142857142855,0.025464591076220233,0.0,0.34823848238482386,0.75,0.0,0.1847803430915368,0.6333333333333333,0.7515810057275518,0.0,0.8773388773388773
0.0,0.0,0.004750593824228044,0.6666666666666666,0.42857142857142855,0.02560039145212678,0.0,0.34823848238482386,0.35,0.0,0.23197280599093195,0.9479166666666666,0.9686148099911985,0.0,0.7920997920997921
0.0,0.7915407854984894,0.004750593824228044,0.6666666666666666,0.5714285714285714,0.025621019919314314,0.0,0.34823848238482386,0.6,0.0,0.2982106051682246,0.7333333333333334,0.6770066029293911,0.0,0.9688149688149688
0.0,0.0,0.004750593824228044,0.6666666666666666,0.42857142857142855,0.025598743347715502,0.0,0.34823848238482386,0.35,0.0,0.08034064371296168,0.9125,0.9662133595139444,0.0,0.9147609147609148
0.0,0.0,0.004750593824228044,0.6666666666666666,0.42857142857142855,0.02561104833775729,0.0,0.34823848238482386,0.4,0.0,0.019216572293412226,0.9,0.907394862910446,0.0,0.9085239085239085
0.0,0.0,0.004750593824228044,0.6666666666666666,0.42857142857142855,0.02559964510220558,0.0,0.34823848238482386,0.55,0.0,0.1367589252878174,0.8583333333333334,0.8666371149610888,0.0,0.844074844074844
0.0,0.0,0.004750593824228044,0.6666666666666666,0.42857142857142855,0.025537008394224237,0.0,0.34823848238482386,0.6,0.0,0.22153072628091353,0.85,0.8886551648592143,0.0,0.8336798336798337
0.0,0.0,0.004750593824228044,0.6666666666666666,0.42857142857142855,0.025593733551815823,0.0,0.34823848238482386,0.25,0.0,0.27598469935537295,0.9229166666666666,0.9578917870578254,0.0,0.9251559251559252
