kDN,DS,DCP,TD_P,TD_U,CL,MV,CB,F1,N1,N2,LSC,LSR,H,U
0.6,0.7272727272727273,0.0625,0.4,0.3333333333333333,0.4651178884867544,0.0,0.6019607843137255,0.75,0.0,0.4003514603134738,0.995049504950495,0.9091928334449728,0.0,0.9950738916256158
0.2,0.33333333333333337,0.08333333333333337,0.6,0.3333333333333333,0.14584087095966947,0.0,0.6019607843137255,0.8,0.0,0.48371783450549244,0.9801980198019802,0.8961860132996005,0.0,0.9753694581280788
0.6,0.8787878787878788,0.368421052631579,1.0,0.5,0.4941733721774184,0.32512315270935965,0.7313725490196079,0.55,0.6666666666666666,0.5169740785247081,1.0,0.9247561672437965,0.014778325123152709,0.9854014598540146
0.7,0.7575757575757576,0.26249999999999996,0.4,0.5833333333333334,0.4940907720633352,0.32512315270935965,0.7313725490196079,0.75,0.5,0.43965766507653514,0.9926470588235294,0.8616999346562613,0.0,0.9927007299270073
0.0,0.0,0.0625,0.4,0.25,0.14214655991741765,0.0,0.6019607843137255,0.8,0.0,0.4114441369803111,0.900990099009901,0.7282686990845766,0.0,0.9802955665024631
0.2,0.6363636363636364,0.0,0.8,0.3333333333333333,0.494071913993096,0.32512315270935965,0.7313725490196079,0.6,0.25,0.3420835581002646,0.9926470588235294,0.9573455802473918,0.009852216748768473,0.9927007299270073
0.4,1.0,0.6,0.8,0.75,0.3539873434007169,0.0,0.6019607843137255,0.65,1.0,0.6192359486789101,1.0,0.9211897133794825,0.0072992700729927005,0.9950738916256158
0.6,0.9393939393939394,0.15555555555555556,1.0,0.8333333333333334,0.5034383291844151,0.0,0.6019607843137255,0.95,0.5,0.5165162664772478,1.0,0.9123943564936555,0.021897810218978103,0.9802955665024631
0.8,0.9696969696969697,0.8444444444444444,1.0,0.9166666666666666,0.5152612966030353,0.32512315270935965,0.7313725490196079,0.7,1.0,0.5479706854139534,1.0,0.9236308267351592,0.024630541871921183,1.0
0.7,0.9090909090909091,0.5909090909090908,0.8,0.6666666666666666,0.8422570834476549,0.32512315270935965,0.7313725490196079,0.55,0.6666666666666666,0.4767806450992501,0.9926470588235294,0.9287402958425865,0.014778325123152709,1.0
0.3,0.303030303030303,0.26249999999999996,0.4,0.5833333333333334,0.49404596772917775,0.32512315270935965,0.7313725490196079,0.7,0.0,0.2880986429513157,0.9632352941176471,0.834567527713438,0.0,0.9781021897810219
0.2,0.8787878787878788,0.368421052631579,1.0,0.6666666666666666,0.49411035698017614,0.32512315270935965,0.7313725490196079,0.85,0.0,0.22934273938324756,0.9485294117647058,0.7422352187637258,0.0,0.9635036496350365
0.2,0.7575757575757576,0.26249999999999996,0.4,0.5833333333333334,0.4940452458163439,0.32512315270935965,0.7313725490196079,0.6,0.3333333333333333,0.4573071245991015,0.9852941176470589,0.9816873782316932,0.0049261083743842365,0.9562043795620438
0.1,0.6363636363636364,0.0,0.8,0.3333333333333333,0.49404701319611743,0.32512315270935965,0.7313725490196079,0.6,0.0,0.3916098105167143,0.9558823529411765,0.9596596950924041,0.0,0.9708029197080292
