kDN,DS,DCP,TD_P,TD_U,CL,MV,CB,F1,N1,N2,LSC,LSR,H,U
0.4,0.9606299212598425,0.31034482758620685,1.0,0.38461538461538464,0.14440605432040854,0.0,0.5761689291101056,0.7,0.0,0.43988793453408415,0.9857142857142858,0.9178775509608188,0.0,1.0
0.2,0.9212598425196851,0.2601156069364162,1.0,0.6153846153846154,0.5579724967090259,0.4270462633451957,0.7571644042232277,0.85,0.5,0.0,0.9625,0.9354427830627512,0.0,0.9440993788819876
0.5,0.905511811023622,0.7398843930635839,1.0,0.6153846153846154,0.4420282517042742,0.0,0.5761689291101056,0.8,0.0,0.43741936610759236,0.9964285714285714,0.919444745105652,0.0,0.99644128113879
0.1,0.9763779527559056,0.018867924528301883,1.0,0.38461538461538464,0.4415070329601841,0.0,0.5761689291101056,0.9,0.0,0.0,0.9964285714285714,1.0,0.0,0.9323843416370107
0.3,0.7952755905511811,0.2601156069364162,1.0,0.3076923076923077,0.5579776334036345,0.4270462633451957,0.7571644042232277,0.75,0.0,0.1069940690226826,0.99375,0.9998387121734028,0.0,0.9813664596273292
0.2,0.889763779527559,0.31034482758620685,1.0,0.46153846153846156,0.14531602386657572,0.0,0.5761689291101056,0.65,0.0,0.42205166459369325,0.9857142857142858,0.8913924597253793,0.0,0.9786476868327402
0.1,0.9685039370078741,0.31034482758620685,1.0,0.7692307692307693,0.441752256132253,0.0,0.5761689291101056,0.9,0.25,0.2698978398703753,0.9821428571428571,0.9590317145197095,0.006211180124223602,0.9395017793594306
0.5,0.9685039370078741,0.7398843930635839,1.0,0.6923076923076923,0.14440521486006164,0.0,0.5761689291101056,0.7,1.0,0.5822552495891824,1.0,0.9182681251945753,0.006211180124223602,0.99644128113879
0.0,0.905511811023622,0.2601156069364162,1.0,0.6923076923076923,0.557971724362357,0.4270462633451957,0.7571644042232277,0.3,0.0,0.033182081556646814,0.925,0.9606423395619026,0.0,0.9503105590062112
0.2,0.8740157480314961,0.31034482758620685,1.0,0.3076923076923077,0.4420001608839652,0.0,0.5761689291101056,0.85,1.0,0.5706380150302707,1.0,0.9383190003341686,0.0,1.0
0.2,0.7952755905511811,0.2601156069364162,1.0,0.3076923076923077,0.5579719877995488,0.4270462633451957,0.7571644042232277,0.75,0.6666666666666666,0.0,0.9875,0.9309619463885863,0.0,0.968944099378882
0.2,0.8582677165354331,0.13043478260869568,1.0,0.23076923076923078,0.18768757704596473,0.0,0.5761689291101056,0.7,0.0,0.3526596023337243,0.9857142857142858,0.8612046573741956,0.0,0.9893238434163701
0.8,0.905511811023622,0.7398843930635839,1.0,0.6153846153846154,0.44202826693771313,0.0,0.5761689291101056,0.65,0.5,0.3590192088453603,0.9964285714285714,0.942413948983089,0.012422360248447204,0.99644128113879
1.0,0.9921259842519685,0.6896551724137931,1.0,0.5384615384615384,0.855594791760169,0.4270462633451957,0.7571644042232277,0.6,1.0,0.5328240148605481,1.0,0.7431233520994578,0.0,1.0
0.6,0.905511811023622,0.7398843930635839,1.0,0.6153846153846154,0.44202825375371857,0.0,0.5761689291101056,0.55,0.6666666666666666,0.4990411274489426,0.9964285714285714,0.9867049898455311,0.006211180124223602,0.99644128113879
0.9,1.0,0.7398843930635839,1.0,0.6923076923076923,0.4420280219784113,0.0,0.5761689291101056,0.6,0.5,0.4919224019706909,0.9964285714285714,0.9526743983696014,0.006211180124223602,0.99644128113879
0.0,0.0,0.018867924528301883,1.0,0.3076923076923077,0.17599508060513014,0.0,0.5761689291101056,0.9,0.0,0.330963723650741,0.9035714285714286,0.8896815140542498,0.0,0.9786476868327402
0.7,0.984251968503937,0.8695652173913043,1.0,0.3076923076923077,0.5782872394951672,0.4270462633451957,0.7571644042232277,0.8,0.5,0.45125911447480493,0.99375,0.8129697924223472,0.0,0.9937888198757764
0.1,0.0,0.018867924528301883,1.0,0.3076923076923077,0.4415429678862295,0.0,0.5761689291101056,0.9,0.3333333333333333,0.0,0.975,0.9965020793478843,0.0,0.9039145907473309
0.5,0.9685039370078741,0.31034482758620685,1.0,0.7692307692307693,0.4418155084270954,0.0,0.5761689291101056,0.9,0.5,0.5551571345216602,1.0,0.9608193985801243,0.012422360248447204,0.9857651245551602
0.1,0.8582677165354331,0.13043478260869568,1.0,0.23076923076923078,0.14440520823983105,0.0,0.5761689291101056,0.85,1.0,0.5033473032692766,1.0,0.6970555637610946,0.0,1.0
0.1,0.7952755905511811,0.2601156069364162,1.0,0.3076923076923077,0.5579731422246806,0.4270462633451957,0.7571644042232277,0.85,0.0,0.0,0.94375,0.9001898278984612,0.0,0.9440993788819876
0.6,0.9685039370078741,0.2601156069364162,1.0,0.6153846153846154,0.5579720042261845,0.4270462633451957,0.7571644042232277,0.8,0.5,0.529568268344371,1.0,0.860676572108615,0.0035587188612099642,0.9937888198757764
0.9,0.9921259842519685,0.7398843930635839,1.0,0.46153846153846156,0.44202759830513083,0.0,0.5761689291101056,0.85,1.0,0.0,0.9964285714285714,0.9741542265902366,0.018633540372670808,0.99644128113879
0.9,0.9685039370078741,0.7398843930635839,1.0,0.6923076923076923,0.4420133064754689,0.0,0.5761689291101056,0.95,1.0,0.5657432033230028,1.0,0.9264359352832849,0.006211180124223602,1.0
0.0,0.0,0.018867924528301883,1.0,0.3076923076923077,0.14440520823983238,0.0,0.5761689291101056,0.8,0.0,0.1338082445937947,0.9178571428571428,0.9160893303196063,0.0,0.8825622775800712
