kDN,DS,DCP,TD_P,TD_U,CL,MV,CB,F1,N1,N2,LSC,LSR,H,U
0.0,0.6729088639200999,0.0,1.0,1.0,0.05844881248582545,0.672069825436409,0.8353677621283255,0.6666666666666666,0.0,0.4442064532883119,0.9809160305343512,0.48557649932743097,0.0,0.9923954372623575
0.0,0.6729088639200999,0.0,1.0,1.0,0.05844881248582545,0.672069825436409,0.8353677621283255,0.3333333333333333,0.0,0.2731041624083054,0.6221374045801527,0.8875864799335427,0.0,0.8935361216730038
0.0,0.6729088639200999,0.0,1.0,1.0,0.05844881248582545,0.672069825436409,0.8353677621283255,0.6666666666666666,0.0,0.12414072827145928,0.2557251908396947,0.8258233950189382,0.0,0.8669201520912547
0.0,0.6729088639200999,0.0,1.0,1.0,0.05844881248582545,0.672069825436409,0.8353677621283255,0.3333333333333333,0.0,0.002754018071777664,0.6030534351145038,0.8889228367827007,0.0,0.8669201520912547
0.0,0.6729088639200999,0.0,1.0,1.0,0.05844881248582545,0.672069825436409,0.8353677621283255,0.5,0.0,0.0018376221288706196,0.38167938931297707,0.8891136580306642,0.0,0.8098859315589354
0.0,0.6729088639200999,0.0,1.0,1.0,0.05844881248582545,0.672069825436409,0.8353677621283255,0.5,0.0,0.0,0.38167938931297707,0.8888676341887647,0.0,0.8022813688212928
0.0,0.6729088639200999,0.0,1.0,1.0,0.05844881248582545,0.672069825436409,0.8353677621283255,0.3333333333333333,0.0,0.3388951599846617,0.9770992366412213,0.7396317791458871,0.0,0.9695817490494296
0.0,0.6729088639200999,0.0,1.0,1.0,0.05844881248582545,0.672069825436409,0.8353677621283255,0.6666666666666666,0.0,0.24990052606150281,0.8129770992366412,0.8222082030218336,0.0,0.9049429657794676
0.0,0.6729088639200999,0.0,1.0,1.0,0.05844881248582545,0.672069825436409,0.8353677621283255,0.5,0.0,0.22346418157156867,0.2442748091603053,0.7758550201506187,0.0,0.9049429657794676
0.2,0.6729088639200999,0.0,1.0,1.0,0.05844881248582545,0.672069825436409,0.8353677621283255,0.6666666666666666,0.0,0.3950223973908803,0.9847328244274809,0.5412779767796299,0.0,0.9885931558935361
0.0,0.6729088639200999,0.0,1.0,1.0,0.05844881248582545,0.672069825436409,0.8353677621283255,0.5,0.0,0.07897805021287874,0.7442748091603053,0.8892964890510114,0.0,0.8365019011406845
0.0,0.6729088639200999,0.0,1.0,1.0,0.05844881248582545,0.672069825436409,0.8353677621283255,0.5,0.0,0.08813689800585811,0.35114503816793896,0.8885872754718394,0.0,0.8060836501901141
0.0,0.6729088639200999,0.0,1.0,1.0,0.05844881248582545,0.672069825436409,0.8353677621283255,0.8333333333333334,0.0,0.28632691722431636,0.2824427480916031,0.7641273045892701,0.0,0.9125475285171103
0.0,0.6729088639200999,0.0,1.0,1.0,0.05844881248582545,0.672069825436409,0.8353677621283255,0.8333333333333334,0.0,0.37167744463965136,0.7633587786259541,0.7164853043561703,0.0,0.973384030418251
0.6,0.6729088639200999,0.0,1.0,1.0,0.05844881248582545,0.672069825436409,0.8353677621283255,0.6666666666666666,0.0,0.5395428728444827,1.0,0.8828581675613659,0.0,1.0
0.0,0.6729088639200999,0.0,1.0,1.0,0.05844881248582545,0.672069825436409,0.8353677621283255,0.8333333333333334,0.0,0.3843655219683786,0.9389312977099237,0.775879763787979,0.0,0.9391634980988594
0.0,0.6729088639200999,0.0,1.0,1.0,0.05844881248582545,0.672069825436409,0.8353677621283255,0.3333333333333333,0.0,0.16269084138434986,0.9656488549618321,0.5253306621004865,0.0,0.9771863117870723
0.4,0.6729088639200999,0.0,1.0,1.0,0.05844881248582545,0.672069825436409,0.8353677621283255,0.5,0.0,0.4010723735086408,0.9885496183206107,0.4551524733674217,0.0,0.9923954372623575
0.0,0.6729088639200999,0.0,1.0,1.0,0.05844881248582545,0.672069825436409,0.8353677621283255,0.6666666666666666,0.0,0.29756201385648107,0.2748091603053435,0.8230393653174158,0.0,0.8935361216730038
0.0,0.6729088639200999,0.0,1.0,1.0,0.05844881248582545,0.672069825436409,0.8353677621283255,0.16666666666666666,0.0,0.2560967520266859,0.9618320610687023,0.5780369432428052,0.0,0.9771863117870723
0.0,0.6729088639200999,0.0,1.0,1.0,0.05844881248582545,0.672069825436409,0.8353677621283255,0.6666666666666666,0.0,0.09905689497404657,0.3549618320610687,0.8885202309290543,0.0,0.8022813688212928
0.0,0.6729088639200999,0.0,1.0,1.0,0.05844881248582545,0.672069825436409,0.8353677621283255,0.5,0.0,0.16667819062465528,0.12213740458015265,0.7232097763541163,0.0,0.9163498098859315
0.0,0.6729088639200999,0.0,1.0,1.0,0.05844881248582545,0.672069825436409,0.8353677621283255,0.6666666666666666,0.0,0.320635553857756,0.2442748091603053,0.7760608141889938,0.0,0.9201520912547528
0.2,0.6729088639200999,0.0,1.0,1.0,0.05844881248582545,0.672069825436409,0.8353677621283255,0.6666666666666666,0.0,0.5064411391260324,1.0,0.8309112031286541,0.0,0.9847908745247148
0.0,0.6729088639200999,0.0,1.0,1.0,0.05844881248582545,0.672069825436409,0.8353677621283255,0.5,0.0,0.2859794238040573,0.8854961832061069,0.8268877389821655,0.0,0.908745247148289
0.0,0.6729088639200999,0.0,1.0,1.0,0.05844881248582545,0.672069825436409,0.8353677621283255,0.5,0.0,0.2820669274132993,0.2862595419847328,0.8334788390219078,0.0,0.8973384030418251
0.0,0.6729088639200999,0.0,1.0,1.0,0.05844881248582545,0.672069825436409,0.8353677621283255,0.5,0.0,0.36892483411974286,0.851145038167939,0.8882582896464545,0.0,0.8745247148288974
0.0,0.6729088639200999,0.0,1.0,1.0,0.05844881248582545,0.672069825436409,0.8353677621283255,0.3333333333333333,0.0,0.2636424127788637,0.9770992366412213,0.8259079250976346,0.0,0.9619771863117871
0.0,0.6729088639200999,0.0,1.0,1.0,0.05844881248582545,0.672069825436409,0.8353677621283255,0.5,0.0,0.06787493857487492,0.17557251908396942,0.777545119480397,0.0,0.9049429657794676
0.4,0.6729088639200999,0.0,1.0,1.0,0.05844881248582545,0.672069825436409,0.8353677621283255,0.5,0.0,0.643664340812709,1.0,0.8243372540665939,0.0,0.9847908745247148
0.0,0.6729088639200999,0.0,1.0,1.0,0.05844881248582545,0.672069825436409,0.8353677621283255,0.6666666666666666,0.0,0.21395060201613914,0.15267175572519087,0.6165522289541374,0.0,0.9695817490494296
0.0,0.6729088639200999,0.0,1.0,1.0,0.05844881248582545,0.672069825436409,0.8353677621283255,0.5,0.0,0.14313183951786435,0.17938931297709926,0.77752449814254,0.0,0.9049429657794676
0.0,0.6729088639200999,0.0,1.0,1.0,0.05844881248582545,0.672069825436409,0.8353677621283255,0.6666666666666666,0.0,0.2047339061341107,0.10687022900763354,0.6686420096824685,0.0,0.935361216730038
