kDN,DS,DCP,TD_P,TD_U,CL,MV,CB,F1,N1,N2,LSC,LSR,H,U
0.6,0.983402489626556,0.38152610441767065,1.0,0.16,0.465021702323278,0.0,0.4264083723001559,0.6,0.0,0.4876512432185106,0.9992229992229992,0.7793640711828413,0.0,1.0
0.0,0.8132780082987552,0.09134615384615385,1.0,0.92,0.10284062927237048,0.0,0.4264083723001559,0.0,0.0,0.0,0.986013986013986,1.0,0.0,1.0
0.0,0.8547717842323651,0.38152610441767065,1.0,0.36,0.10451895178165982,0.0,0.4264083723001559,0.5333333333333333,0.0,0.3443297001026431,0.9953379953379954,0.9082311969212232,0.0,0.9984472049689441
0.8,0.9875518672199171,0.9086538461538461,1.0,0.32,0.8971593332899352,0.8377329192546584,0.9069249610331775,0.4,1.0,0.5087947543294747,1.0,0.9904452066016496,0.014354066985645933,1.0
0.0,0.9087136929460581,0.09134615384615385,1.0,0.24,0.10284059554307423,0.0,0.4264083723001559,0.6,0.0,0.4489572176621236,0.9953379953379954,0.8743746421443319,0.0,0.9984472049689441
0.8,0.9004149377593361,0.6184738955823292,1.0,0.32,0.5350891924327367,0.8377329192546584,0.9069249610331775,0.4666666666666667,1.0,0.5418309286426934,1.0,0.9623647870746217,0.004784688995215311,1.0
0.8,0.991701244813278,0.6184738955823292,1.0,0.44,0.5349782973912667,0.8377329192546584,0.9069249610331775,0.6,0.5,0.5452851165532108,1.0,0.9529358382206112,0.004784688995215311,0.9952153110047847
0.0,0.9128630705394191,0.09134615384615385,1.0,0.76,0.10284061740215289,0.0,0.4264083723001559,0.13333333333333333,0.0,0.0,0.9790209790209791,0.9980501315344631,0.0,0.9798136645962733
0.0,0.3858921161825726,0.09134615384615385,1.0,0.6,0.10284061653437937,0.0,0.4264083723001559,0.2,0.0,0.4588440271735472,0.9867909867909868,0.9939802546939527,0.0,0.9922360248447205
0.0,0.8132780082987552,0.09134615384615385,1.0,0.88,0.1028406182652607,0.0,0.4264083723001559,0.13333333333333333,0.0,0.0,0.9852369852369852,0.9999121743489295,0.0,0.9790372670807453
0.0,0.8132780082987552,0.09134615384615385,1.0,0.88,0.10284061853147974,0.0,0.4264083723001559,0.13333333333333333,0.0,0.0,0.9883449883449883,0.9996810051847639,0.0,0.9836956521739131
1.0,1.0,0.9086538461538461,1.0,0.6,0.8971593841975232,0.8377329192546584,0.9069249610331775,0.26666666666666666,1.0,0.7330995813531022,1.0,0.9980407499389845,0.20574162679425836,1.0
0.0,0.91701244813278,0.09134615384615385,1.0,0.44,0.10284059554294389,0.0,0.4264083723001559,0.26666666666666666,0.0,0.0007996009854575048,0.993006993006993,0.9090271661752968,0.0,0.9813664596273292
0.0,0.7510373443983402,0.09134615384615385,1.0,0.56,0.10284061830578617,0.0,0.4264083723001559,0.26666666666666666,0.0,0.25983882659505353,0.9891219891219891,0.9867551202009471,0.0,0.9883540372670807
0.8,1.0,0.9086538461538461,1.0,0.36,0.8971580603977851,0.8377329192546584,0.9069249610331775,0.4666666666666667,1.0,0.5697988886015111,1.0,0.9890202203233442,0.05741626794258373,1.0
0.2,0.9626556016597511,0.09134615384615385,1.0,0.68,0.10284458472084101,0.0,0.4264083723001559,0.6,0.0,0.47030127609157624,0.9968919968919969,0.9168633665431961,0.0,0.9992236024844721
0.0,0.0,0.09134615384615385,1.0,0.48,0.1028406164854534,0.0,0.4264083723001559,0.2,0.0,0.2536966812793555,0.965034965034965,0.985744332308789,0.0,0.985248447204969
0.8,1.0,0.9086538461538461,1.0,0.4,0.8971593536028504,0.8377329192546584,0.9069249610331775,0.2,0.5,0.47045751039087125,0.9951923076923077,0.9934477647796685,0.03827751196172249,0.9952153110047847
0.0,0.995850622406639,0.09134615384615385,1.0,0.52,0.10284059554294389,0.0,0.4264083723001559,0.4666666666666667,0.0,0.23402587104378936,0.9922299922299922,0.8445182042809332,0.0,0.9906832298136646
0.6,0.983402489626556,0.6184738955823292,1.0,0.44,0.5355035305169134,0.8377329192546584,0.9069249610331775,0.6,1.0,0.5956267367290107,1.0,0.9725996925753585,0.004784688995215311,1.0
1.0,0.995850622406639,0.9086538461538461,1.0,0.4,0.8971593839148789,0.8377329192546584,0.9069249610331775,0.13333333333333333,1.0,0.8060302826905332,1.0,0.9997201770096205,0.13875598086124402,1.0
0.0,0.0,0.09134615384615385,1.0,0.48,0.10284061548890555,0.0,0.4264083723001559,0.26666666666666666,0.0,0.15911681508047426,0.972027972027972,0.9886079162883317,0.0,0.9836956521739131
0.0,0.7427385892116183,0.09134615384615385,1.0,0.52,0.10284061615759121,0.0,0.4264083723001559,0.4,0.0,0.4591498584120701,0.9937839937839937,0.9833553423539331,0.0,0.9906832298136646
0.0,0.3858921161825726,0.09134615384615385,1.0,0.6,0.10284061566462088,0.0,0.4264083723001559,0.2,0.0,0.09145876866659175,0.9121989121989122,0.9890840582119282,0.0,0.9743788819875776
0.0,0.3858921161825726,0.09134615384615385,1.0,0.6,0.10284059554432523,0.0,0.4264083723001559,0.26666666666666666,0.0,0.33307174039228127,0.9821289821289821,0.8903468749219198,0.0,0.9961180124223602
