kDN,DS,DCP,TD_P,TD_U,CL,MV,CB,F1,N1,N2,LSC,LSR,H,U
0.8,0.9393939393939394,0.35526315789473684,1.0,0.46153846153846156,0.29018868567510325,0.49411764705882355,0.7760416666666666,0.7142857142857143,1.0,0.5998506866150544,1.0,0.8446596244302357,0.011627906976744186,1.0
0.2,1.0,0.2055555555555556,1.0,0.5384615384615384,0.16988476999630675,0.0,0.5572916666666666,0.42857142857142855,1.0,0.6659699458360162,1.0,0.9548131611608022,0.0058823529411764705,1.0
0.8,0.9393939393939394,0.35526315789473684,1.0,0.46153846153846156,0.7701308947383032,0.49411764705882355,0.7760416666666666,0.5714285714285714,1.0,0.5270196023585949,1.0,0.9391329754956228,0.011627906976744186,1.0
0.0,0.0,0.2055555555555556,1.0,0.6153846153846154,0.16066809325469578,0.0,0.5572916666666666,0.5714285714285714,0.0,0.19513504947321514,0.9053254437869822,0.9001605360326553,0.0,0.9058823529411765
1.0,0.8787878787878788,0.7944444444444445,1.0,1.0,0.8403734771091688,0.49411764705882355,0.7760416666666666,0.14285714285714285,1.0,0.9999999999999534,1.011764705882353,1.0,0.2441860465116279,1.0
0.2,0.0,0.2055555555555556,1.0,0.6153846153846154,0.2348953169148874,0.0,0.5572916666666666,0.7142857142857143,0.0,0.11042373825464225,0.9763313609467456,0.9237517925278913,0.0,0.9352941176470588
0.6,1.0,0.7944444444444445,1.0,0.46153846153846156,0.6849910796622399,0.49411764705882355,0.7760416666666666,1.0,0.5,0.7082556899614227,1.0,0.9494027722770244,0.046511627906976744,0.9883720930232558
0.2,0.9696969696969697,0.6447368421052632,1.0,0.46153846153846156,0.4321654913751891,0.0,0.5572916666666666,0.5714285714285714,0.0,0.39764568560207225,0.9763313609467456,0.8743461929298062,0.0,0.9882352941176471
0.6,0.9696969696969697,0.6447368421052632,1.0,0.6923076923076923,0.6458211574024888,0.0,0.5572916666666666,0.5714285714285714,0.0,0.5462389864049347,1.0,0.9127348011015687,0.01764705882352941,0.9941176470588236
0.4,0.7575757575757576,0.2055555555555556,1.0,0.6153846153846154,0.2508790280977373,0.0,0.5572916666666666,0.5714285714285714,1.0,0.5823572575986812,1.0,0.9557033453388281,0.0058823529411764705,0.9823529411764705
0.2,0.9090909090909091,0.6447368421052632,1.0,0.15384615384615385,0.15408308150670025,0.0,0.5572916666666666,0.2857142857142857,0.0,0.4101817452998304,0.9763313609467456,0.49165135649988523,0.0,1.0
0.8,1.0,0.6447368421052632,1.0,0.46153846153846156,0.7099371277826537,0.0,0.5572916666666666,0.5714285714285714,1.0,0.5540811980183789,1.0,0.7126232848192593,0.0058823529411764705,1.0
0.2,0.0,0.2055555555555556,1.0,0.6153846153846154,0.18421020801331456,0.0,0.5572916666666666,0.5714285714285714,0.3333333333333333,0.3520242863779377,0.9940828402366864,0.9742485463624526,0.0058823529411764705,0.9588235294117647
0.2,0.6666666666666667,0.2055555555555556,1.0,0.7692307692307693,0.15956235275223163,0.0,0.5572916666666666,0.2857142857142857,0.0,0.4000000000019316,0.9881656804733728,0.9987146661381968,0.0,0.9647058823529412
0.0,0.4545454545454546,0.35526315789473684,1.0,0.5384615384615384,0.29018877045677927,0.49411764705882355,0.7760416666666666,0.8571428571428571,0.0,0.37532832622563406,0.9058823529411765,0.6959491170752362,0.0,0.9534883720930233
0.4,0.9696969696969697,0.6447368421052632,1.0,0.6923076923076923,0.7096271538371939,0.0,0.5572916666666666,0.8571428571428571,0.5,0.530673945716629,1.0,0.8216793673927619,0.0,0.9941176470588236
0.0,0.0,0.2055555555555556,1.0,0.6153846153846154,0.17786883131265663,0.0,0.5572916666666666,0.5714285714285714,0.0,0.2619436313841069,0.9585798816568047,0.9064036631997671,0.0,0.9529411764705882
0.2,0.4545454545454546,0.35526315789473684,1.0,0.5384615384615384,0.3164145957896345,0.49411764705882355,0.7760416666666666,0.8571428571428571,0.0,0.27967755295289953,0.9882352941176471,0.80105446125393,0.0,0.9069767441860466
0.2,0.48484848484848486,0.2055555555555556,1.0,0.7692307692307693,0.18671077954682447,0.0,0.5572916666666666,0.5714285714285714,0.3333333333333333,0.5243504239650048,1.0,0.9684203652832802,0.0,0.9882352941176471
0.0,0.0,0.2055555555555556,1.0,0.6153846153846154,0.16488179782305268,0.0,0.5572916666666666,0.5714285714285714,0.0,4.8531048624234074e-08,0.9112426035502958,0.9055411264322291,0.0,0.9117647058823529
0.2,0.696969696969697,0.7944444444444445,1.0,0.38461538461538464,0.290075934352821,0.49411764705882355,0.7760416666666666,0.7142857142857143,0.0,0.3697937449091503,0.9764705882352941,0.7310845418569865,0.0,0.9883720930232558
0.4,0.9393939393939394,0.35526315789473684,1.0,0.6153846153846154,0.29500331502587596,0.49411764705882355,0.7760416666666666,0.8571428571428571,0.0,0.4972534881415812,0.9882352941176471,0.67877289975747,0.0,0.9883720930232558
0.2,0.6666666666666667,0.2055555555555556,1.0,0.7692307692307693,0.15954807643980873,0.0,0.5572916666666666,0.2857142857142857,0.0,0.285714285716848,0.9881656804733728,0.9978574921368358,0.0,0.9647058823529412
0.8,0.9090909090909091,0.7944444444444445,1.0,0.3076923076923077,0.7907053856055094,0.49411764705882355,0.7760416666666666,0.5714285714285714,0.0,0.4136254326509057,0.9882352941176471,0.8621633832084972,0.0,1.0
0.6,0.9090909090909091,0.6447368421052632,1.0,0.5384615384615384,0.707505786202448,0.0,0.5572916666666666,1.0,0.0,0.5298134563659287,1.0,0.7933299106027065,0.0,1.0
0.2,0.8181818181818181,0.2055555555555556,1.0,1.0,0.1596178762063416,0.0,0.5572916666666666,0.2857142857142857,0.5,0.0,0.9644970414201184,0.9995717570067583,0.0,0.9647058823529412
0.2,0.7878787878787878,0.35526315789473684,1.0,0.6153846153846154,0.30534806966738903,0.49411764705882355,0.7760416666666666,0.5714285714285714,0.0,0.39899619634039707,0.9764705882352941,0.8102709272093893,0.0,0.9767441860465116
0.6,0.4545454545454546,0.35526315789473684,1.0,0.5384615384615384,0.29037660209208394,0.49411764705882355,0.7760416666666666,1.0,0.6666666666666666,0.5170670584330617,1.0,0.7630689749402738,0.011627906976744186,0.9767441860465116
0.2,0.7575757575757576,0.2055555555555556,1.0,0.38461538461538464,0.17627547972998747,0.0,0.5572916666666666,0.5714285714285714,0.0,0.10867965520036349,0.9822485207100592,0.9476715813266394,0.0,0.9823529411764705
0.4,0.4545454545454546,0.35526315789473684,1.0,0.5384615384615384,0.6968224299329548,0.49411764705882355,0.7760416666666666,0.5714285714285714,0.0,0.346584176731918,0.9764705882352941,0.918210141754055,0.011627906976744186,0.9767441860465116
