kDN,DS,DCP,TD_P,TD_U,CL,MV,CB,F1,N1,N2,LSC,LSR,H,U
0.0,0.8389830508474576,0.055118110236220486,1.0,0.5384615384615384,0.06343253392918635,0.0,0.39316239316239315,0.75,0.0,0.277559395761661,0.985897435897436,0.9618099699319104,0.0,0.9859154929577465
0.0,0.0,0.055118110236220486,1.0,0.38461538461538464,0.041594169220349975,0.0,0.39316239316239315,0.625,0.0,0.0,0.941025641025641,0.9556872933264559,0.0,0.9167733674775929
0.6,0.9957627118644068,0.36458333333333337,1.0,0.6153846153846154,0.3219945280665857,0.0,0.39316239316239315,0.625,1.0,0.4113897576865274,0.9974358974358974,0.7472862004791248,0.0,1.0
0.0,0.9491525423728814,0.055118110236220486,1.0,0.46153846153846156,0.04159408932075803,0.0,0.39316239316239315,0.375,0.0,0.0,0.958974358974359,0.9671904535893342,0.0,0.9244558258642765
0.0,0.0,0.055118110236220486,1.0,0.38461538461538464,0.04159734233773871,0.0,0.39316239316239315,0.75,0.0,0.11520347295289413,0.9397435897435897,0.9321224669734058,0.0,0.9897567221510883
0.6,0.9576271186440678,0.6354166666666667,1.0,0.38461538461538464,0.6807898140606015,0.9014084507042254,0.94017094017094,0.875,0.5,0.527535116678414,1.0,0.9740018243406061,0.012987012987012988,1.0
0.0,0.0,0.055118110236220486,1.0,0.38461538461538464,0.04159367447501139,0.0,0.39316239316239315,0.25,0.0,0.0,0.9294871794871795,0.949308524682032,0.0,0.9282970550576184
0.0,0.5254237288135593,0.055118110236220486,1.0,0.6153846153846154,0.05835299269273675,0.0,0.39316239316239315,0.75,0.0,0.32158120493286146,0.9666666666666667,0.9494246434820298,0.0,0.9795134443021767
0.0,0.0,0.055118110236220486,1.0,0.38461538461538464,0.04159703776085433,0.0,0.39316239316239315,0.75,0.0,0.08284402549714476,0.941025641025641,0.9356848848198762,0.0,0.9897567221510883
0.0,0.0,0.055118110236220486,1.0,0.38461538461538464,0.041696416995059216,0.0,0.39316239316239315,0.625,0.0,0.08231396153286819,0.926923076923077,0.8886288064082623,0.0,0.9948783610755442
0.2,0.5254237288135593,0.055118110236220486,1.0,0.6153846153846154,0.061180603262243505,0.0,0.39316239316239315,0.75,0.0,0.4290101412563162,0.9948717948717949,0.9661517641792703,0.0,0.9782330345710627
1.0,0.9957627118644068,0.6354166666666667,1.0,0.46153846153846156,0.6780171650766933,0.9014084507042254,0.94017094017094,0.75,1.0,0.6059889157510887,1.0,0.8569704425216647,0.0,1.0
0.0,0.5254237288135593,0.055118110236220486,1.0,0.6153846153846154,0.04159588891330657,0.0,0.39316239316239315,0.5,0.0,0.18583883489238218,0.9141025641025641,0.9127464860271628,0.0,0.9590268886043534
0.0,0.9491525423728814,0.055118110236220486,1.0,0.46153846153846156,0.04160732155743396,0.0,0.39316239316239315,0.0,0.0,0.0,0.9153846153846154,0.8890534037182136,0.0,0.9897567221510883
0.0,0.9067796610169492,0.055118110236220486,1.0,0.46153846153846156,0.04640617274921821,0.0,0.39316239316239315,0.75,0.0,0.21379200122839515,0.926923076923077,0.941095500483762,0.0,0.9372599231754162
0.0,0.0,0.055118110236220486,1.0,0.38461538461538464,0.04217539060175879,0.0,0.39316239316239315,0.625,0.0,0.0038658249552842028,0.8512820512820513,0.9082839653901236,0.0,0.9436619718309859
0.0,0.5254237288135593,0.055118110236220486,1.0,0.6153846153846154,0.04160288419949898,0.0,0.39316239316239315,0.375,0.0,0.04599893813466305,0.9051282051282051,0.9252096812942303,0.0,0.9475032010243278
0.0,0.0,0.055118110236220486,1.0,0.38461538461538464,0.0415936566385845,0.0,0.39316239316239315,0.25,0.0,0.0,0.985897435897436,0.9747674273149701,0.0,0.9295774647887324
0.4,0.9067796610169492,0.055118110236220486,1.0,0.8461538461538461,0.10223916981286918,0.0,0.39316239316239315,1.0,0.0,0.516246752584743,1.0,0.9557613553324246,0.0,0.9935979513444302
0.2,0.9576271186440678,0.6354166666666667,1.0,0.38461538461538464,0.6780058532618489,0.9014084507042254,0.94017094017094,0.75,0.0,0.2880673936946896,0.9868421052631579,0.9248347189115806,0.0,0.987012987012987
0.4,0.9364406779661016,0.055118110236220486,1.0,0.6923076923076923,0.04159365766150214,0.0,0.39316239316239315,0.0,0.0,0.0,0.9948717948717949,1.0,0.0,0.9884763124199744
0.0,0.0,0.055118110236220486,1.0,0.38461538461538464,0.04159416310412811,0.0,0.39316239316239315,0.625,0.0,0.0,0.941025641025641,0.9562330967672638,0.0,0.9167733674775929
0.4,0.9872881355932204,0.055118110236220486,1.0,0.6153846153846154,0.1076643064374806,0.0,0.39316239316239315,0.875,0.5,0.4162873317618151,0.9974358974358974,0.9574405815906665,0.0012804097311139564,0.9974391805377721
0.0,0.0,0.055118110236220486,1.0,0.38461538461538464,0.04346981370768621,0.0,0.39316239316239315,0.625,0.0,0.28784182004009073,0.9641025641025641,0.9549080488919818,0.0,0.971830985915493
0.2,0.7161016949152542,0.055118110236220486,1.0,0.38461538461538464,0.0612758643943947,0.0,0.39316239316239315,0.625,0.3333333333333333,0.47850245104216227,0.9987179487179487,0.9798256469063251,0.0,0.9859154929577465
0.6,0.9957627118644068,0.36458333333333337,1.0,0.5384615384615384,0.22464813974472841,0.0,0.39316239316239315,0.875,1.0,0.48790248987367324,0.9987179487179487,0.9572889217159437,0.0038412291933418692,1.0
