kDN,DS,DCP,TD_P,TD_U,CL,MV,CB,F1,N1,N2,LSC,LSR,H,U
0.0,0.9592760180995475,0.01906412478336217,0.6666666666666666,0.75,0.053831926134022545,0.0,0.39316239316239315,0.65,0.0,0.11246694217952025,0.9846153846153847,0.9372758960911578,0.0,0.9820742637644047
0.0,0.0,0.01906412478336217,0.6666666666666666,0.25,0.05382516422412398,0.0,0.39316239316239315,0.7,0.0,0.0,0.9576923076923077,0.9186606680035303,0.0,0.9654289372599232
0.3,0.9638009049773756,0.24137931034482762,0.6666666666666666,0.25,0.3026190018114392,0.0,0.39316239316239315,0.6,1.0,0.5175869517027882,1.0,0.8021783914434415,0.0,1.0
0.0,0.9457013574660633,0.01906412478336217,0.6666666666666666,0.3125,0.05382516415982508,0.0,0.39316239316239315,0.4,0.0,0.0,0.982051282051282,0.938219107305858,0.0,0.9923175416133163
0.0,0.0,0.01906412478336217,0.6666666666666666,0.25,0.053825165580257406,0.0,0.39316239316239315,0.7,0.0,0.03231441723487427,0.958974358974359,0.8558909382582767,0.0,0.9577464788732395
0.5,0.9683257918552036,0.7586206896551724,0.6666666666666666,0.5625,0.69744670074364,0.9014084507042254,0.94017094017094,0.75,0.0,0.4741819548794354,0.9605263157894737,0.8764742336763491,0.0,1.0
0.0,0.5475113122171946,0.01906412478336217,0.6666666666666666,0.25,0.053825164216754096,0.0,0.39316239316239315,0.3,0.0,0.0,0.9551282051282052,0.9791120692395967,0.0,0.9026888604353394
0.0,0.0,0.01906412478336217,0.6666666666666666,0.25,0.053830573621131306,0.0,0.39316239316239315,0.8,0.0,0.18393312179434362,0.9833333333333333,0.8509329975177051,0.0,0.9795134443021767
0.0,0.0,0.01906412478336217,0.6666666666666666,0.25,0.053825165446154455,0.0,0.39316239316239315,0.7,0.0,0.011368022528338129,0.9615384615384616,0.8630440263168951,0.0,0.9603072983354674
0.0,0.0,0.01906412478336217,0.6666666666666666,0.25,0.053825201609428386,0.0,0.39316239316239315,0.6,0.0,0.11388658797699747,0.9846153846153847,0.8350285220206322,0.0,0.9910371318822023
0.1,0.0,0.01906412478336217,0.6666666666666666,0.25,0.05383094655260967,0.0,0.39316239316239315,0.65,0.0,0.44194067594624076,0.9974358974358974,0.9209786817182494,0.0,0.969270166453265
1.0,0.9728506787330317,0.7586206896551724,0.6666666666666666,0.375,0.6975124819351499,0.9014084507042254,0.94017094017094,0.8,1.0,0.5557444568064809,1.0,0.8677181431978168,0.0,1.0
0.0,0.0,0.01906412478336217,0.6666666666666666,0.25,0.05382516418405747,0.0,0.39316239316239315,0.65,0.0,0.3514875441397808,0.9397435897435897,0.8374461546185124,0.0,0.9820742637644047
0.0,0.5475113122171946,0.01906412478336217,0.6666666666666666,0.25,0.05382516974068008,0.0,0.39316239316239315,0.0,0.0,0.0,0.9397435897435897,0.858215318679502,0.0,0.9897567221510883
0.1,0.0,0.01906412478336217,0.6666666666666666,0.25,0.054213967508992766,0.0,0.39316239316239315,0.75,0.0,0.44380707807820496,0.9910256410256411,0.8674813494354707,0.0,0.9513444302176697
0.0,0.0,0.01906412478336217,0.6666666666666666,0.25,0.053825599289612835,0.0,0.39316239316239315,0.75,0.0,0.02997220200254891,0.8807692307692307,0.7746443349199981,0.0,0.942381562099872
0.0,0.5475113122171946,0.01906412478336217,0.6666666666666666,0.25,0.05382516774970281,0.0,0.39316239316239315,0.5,0.0,0.1500770867419995,0.941025641025641,0.9086238931157673,0.0,0.8911651728553137
0.0,0.5475113122171946,0.01906412478336217,0.6666666666666666,0.25,0.053825164216054544,0.0,0.39316239316239315,0.35,0.0,0.0,0.9628205128205128,0.9837317580070207,0.0,0.9090909090909091
0.2,0.9140271493212669,0.24137931034482762,0.6666666666666666,0.4375,0.301107315399491,0.0,0.39316239316239315,0.85,0.0,0.4993549688815566,0.9987179487179487,0.8484032247128948,0.0,0.998719590268886
0.6,0.9502262443438914,0.07692307692307687,0.6666666666666666,0.1875,0.6973809981885608,0.9014084507042254,0.94017094017094,0.65,0.5,0.2183625479545127,0.9736842105263158,0.8547025229655172,0.0012804097311139564,0.987012987012987
0.1,0.9864253393665159,0.01906412478336217,0.6666666666666666,0.9375,0.053825164214640564,0.0,0.39316239316239315,0.05,0.5,0.75,1.0,0.9999806808934192,0.012987012987012988,0.9910371318822023
0.0,0.0,0.01906412478336217,0.6666666666666666,0.25,0.053825164223143096,0.0,0.39316239316239315,0.7,0.0,0.0,0.9576923076923077,0.9186750943970728,0.0,0.9654289372599232
0.1,0.9909502262443439,0.24137931034482762,0.6666666666666666,0.625,0.06142429744717037,0.0,0.39316239316239315,0.7,0.0,0.4276492712183555,0.9923076923076923,0.864175301087076,0.0,0.9923175416133163
0.0,0.6968325791855203,0.01906412478336217,0.6666666666666666,0.75,0.05382574762338721,0.0,0.39316239316239315,0.6,0.0,0.3539436219892561,0.9666666666666667,0.9310720009938892,0.0,0.9641485275288092
0.2,0.7375565610859729,0.01906412478336217,0.6666666666666666,0.3125,0.053832658835095804,0.0,0.39316239316239315,0.6,0.0,0.4040849716480023,0.9948717948717949,0.954103934360371,0.0,0.9782330345710627
0.4,0.9909502262443439,0.24137931034482762,0.6666666666666666,0.6875,0.29052285195565186,0.0,0.39316239316239315,0.85,0.5,0.45565834062841426,0.9987179487179487,0.8356544028444525,0.03896103896103896,1.0
0.9,0.995475113122172,0.7777777777777778,1.0,0.5,0.9461677674377841,0.9014084507042254,0.94017094017094,0.75,1.0,0.5551169313565767,1.0,0.9482742114638971,0.02560819462227913,1.0
0.0,0.6968325791855203,0.01906412478336217,0.6666666666666666,0.75,0.053828036713807426,0.0,0.39316239316239315,0.5,0.0,0.28338864958696675,0.982051282051282,0.9536621749424209,0.0,0.9603072983354674
0.0,0.0,0.01906412478336217,0.6666666666666666,0.25,0.05382516636264034,0.0,0.39316239316239315,0.6,0.0,0.3426122291769853,0.8564102564102565,0.7173941445304888,0.0,0.9910371318822023
0.0,0.5475113122171946,0.01906412478336217,0.6666666666666666,0.25,0.053825164216054544,0.0,0.39316239316239315,0.35,0.0,0.0,0.9628205128205128,0.9837317580070207,0.0,0.9090909090909091
0.0,0.5475113122171946,0.01906412478336217,0.6666666666666666,0.25,0.05382517006224441,0.0,0.39316239316239315,0.1,0.0,0.044695985783552494,0.9423076923076923,0.8600960521193435,0.0,0.9897567221510883
0.2,0.8868778280542986,0.2222222222222222,1.0,0.375,0.05388958522992271,0.0,0.39316239316239315,0.65,0.0,0.44359252619910317,0.9987179487179487,0.9468967479845614,0.0,0.9948783610755442
0.0,0.0,0.01906412478336217,0.6666666666666666,0.25,0.053825164157191074,0.0,0.39316239316239315,0.6,0.0,0.0,0.982051282051282,0.9039060048138121,0.0,0.967989756722151
1.0,1.0,0.9809358752166378,0.6666666666666666,0.875,0.946174835785334,0.9014084507042254,0.94017094017094,0.0,1.0,0.9333333333333333,1.0,0.9999885775289235,0.088348271446863,1.0
0.1,0.7194570135746606,0.01906412478336217,0.6666666666666666,0.5625,0.053826332519395614,0.0,0.39316239316239315,0.6,0.0,0.34739561054078827,0.9910256410256411,0.8810262803012419,0.0,0.9577464788732395
0.0,0.6968325791855203,0.01906412478336217,0.6666666666666666,0.75,0.05382517973040257,0.0,0.39316239316239315,0.6,0.0,0.1242383013753402,0.8897435897435897,0.824641187371772,0.0,0.9449423815620999
0.0,0.7194570135746606,0.01906412478336217,0.6666666666666666,0.5625,0.05382533152565572,0.0,0.39316239316239315,0.65,0.0,0.12364950646086448,0.8730769230769231,0.783256997084891,0.0,0.9372599231754162
0.0,0.5475113122171946,0.01906412478336217,0.6666666666666666,0.25,0.05382526740254778,0.0,0.39316239316239315,0.55,0.0,0.1008816612608977,0.8897435897435897,0.834242401889611,0.0,0.9372599231754162
0.2,0.9638009049773756,0.24137931034482762,0.6666666666666666,0.5625,0.30261808162507864,0.0,0.39316239316239315,0.8,0.0,0.4946068927210867,0.9974358974358974,0.8673183052810784,0.0,0.998719590268886
0.0,0.0,0.01906412478336217,0.6666666666666666,0.25,0.053825400504476706,0.0,0.39316239316239315,0.6,0.0,0.16539471686704665,0.9397435897435897,0.8313792755201005,0.0,0.9372599231754162
0.1,0.8868778280542986,0.2222222222222222,1.0,0.375,0.302619001811433,0.0,0.39316239316239315,0.5,0.0,0.4474469890489273,0.9884615384615385,0.7198460198551897,0.0,1.0
0.0,0.9773755656108597,0.2222222222222222,1.0,0.375,0.05690552029612328,0.0,0.39316239316239315,0.75,0.0,0.34927768717290864,0.9538461538461538,0.767142474987613,0.0,0.9833546734955185
0.0,0.7194570135746606,0.01906412478336217,0.6666666666666666,0.5625,0.053825208018717596,0.0,0.39316239316239315,0.6,0.0,0.0815637230441475,0.7807692307692308,0.7344100402966495,0.0,0.9654289372599232
0.1,0.0,0.01906412478336217,0.6666666666666666,0.25,0.05382860728493144,0.0,0.39316239316239315,0.85,0.5,0.32747066537383596,0.9987179487179487,0.9071485653795994,0.012987012987012988,0.9487836107554417
0.0,0.5475113122171946,0.01906412478336217,0.6666666666666666,0.25,0.053825165381646056,0.0,0.39316239316239315,0.4,0.0,0.1742138279650154,0.9051282051282051,0.9214462038956722,0.0,0.8386683738796414
0.3,0.9140271493212669,0.24137931034482762,0.6666666666666666,0.4375,0.12042503135713489,0.0,0.39316239316239315,0.65,0.25,0.31445154459390867,0.9987179487179487,0.9569404162231785,0.012987012987012988,0.9948783610755442
0.0,0.0,0.01906412478336217,0.6666666666666666,0.25,0.053826389033639344,0.0,0.39316239316239315,0.75,0.0,0.3367421223393575,0.9692307692307692,0.8796605194138379,0.0,0.9308578745198464
0.0,0.8235294117647058,0.0,1.0,0.1875,0.0538251688869239,0.0,0.39316239316239315,0.45,0.0,0.15171554538303722,0.8551282051282051,0.8782462278887242,0.0,0.9346991037131882
0.1,0.0,0.01906412478336217,0.6666666666666666,0.25,0.05395420009660279,0.0,0.39316239316239315,0.8,0.0,0.44698126252583104,0.9897435897435898,0.8738806394583133,0.0,0.9641485275288092
0.0,0.0,0.01906412478336217,0.6666666666666666,0.25,0.0538252097211821,0.0,0.39316239316239315,0.6,0.0,0.1473971271238752,0.9025641025641026,0.7460531351549623,0.0,0.9756722151088348
0.0,0.0,0.01906412478336217,0.6666666666666666,0.25,0.0538331077280606,0.0,0.39316239316239315,0.75,0.0,0.4157679426282038,0.9871794871794872,0.865126531297821,0.0,0.9628681177976952
0.0,0.0,0.01906412478336217,0.6666666666666666,0.25,0.053825192030816926,0.0,0.39316239316239315,0.6,0.0,0.09298172624046175,0.9461538461538461,0.8192538132884437,0.0,0.9487836107554417
0.0,0.7375565610859729,0.01906412478336217,0.6666666666666666,0.3125,0.05382860149350477,0.0,0.39316239316239315,0.6,0.0,0.3380780752101028,0.9525641025641025,0.8604377928810891,0.0,0.9871959026888605
0.0,0.0,0.01906412478336217,0.6666666666666666,0.25,0.05382534316131893,0.0,0.39316239316239315,0.6,0.0,0.10022012889771581,0.941025641025641,0.8468481342098201,0.0,0.9334186939820742
1.0,0.9909502262443439,0.9809358752166378,0.6666666666666666,0.875,0.9461748355707794,0.9014084507042254,0.94017094017094,0.4,1.0,0.6557033758354827,1.0,0.9888159602526279,0.014084507042253521,1.0
0.0,0.0,0.01906412478336217,0.6666666666666666,0.25,0.05382516681858496,0.0,0.39316239316239315,0.6,0.0,0.24801527596377704,0.9602564102564103,0.8984032027088314,0.0,0.9487836107554417
0.9,0.9502262443438914,0.07692307692307687,0.6666666666666666,0.1875,0.6973809981885608,0.9014084507042254,0.94017094017094,0.7,1.0,0.6425532786364523,1.0,0.9310024720918849,0.0038412291933418692,1.0
0.9,1.0,0.9809358752166378,0.6666666666666666,1.0,0.9461748357856706,0.9014084507042254,0.94017094017094,0.05,1.0,0.6086956521739131,1.0,0.9998971813181029,0.02560819462227913,1.0
0.0,0.9457013574660633,0.01906412478336217,0.6666666666666666,0.3125,0.053825199182042094,0.0,0.39316239316239315,0.3,0.0,0.0,0.9794871794871794,0.8173583364454798,0.0,0.9910371318822023
0.0,0.0,0.01906412478336217,0.6666666666666666,0.25,0.0538251673960064,0.0,0.39316239316239315,0.55,0.0,0.2072515832764028,0.9051282051282051,0.7951408380496536,0.0,0.970550576184379
0.0,0.0,0.01906412478336217,0.6666666666666666,0.25,0.05385612889507385,0.0,0.39316239316239315,0.75,0.0,0.3368731879291327,0.9769230769230769,0.8429474881044678,0.0,0.9923175416133163
0.1,0.7375565610859729,0.01906412478336217,0.6666666666666666,0.3125,0.053844575368526604,0.0,0.39316239316239315,0.65,0.3333333333333333,0.4642026901976366,0.9987179487179487,0.9641682584955558,0.0,0.9756722151088348
0.0,0.8235294117647058,0.0,1.0,0.1875,0.05382643726702807,0.0,0.39316239316239315,0.5,0.0,0.08933270758806555,0.9487179487179487,0.8465614577166508,0.0,0.9769526248399488
0.0,0.5475113122171946,0.01906412478336217,0.6666666666666666,0.25,0.05382516511802182,0.0,0.39316239316239315,0.45,0.0,0.14262514359536516,0.8730769230769231,0.9186578310861556,0.0,0.8450704225352113
0.0,0.0,0.01906412478336217,0.6666666666666666,0.25,0.05382789852298031,0.0,0.39316239316239315,0.85,0.0,0.26120135088748353,0.9846153846153847,0.8723481118211744,0.0,0.9346991037131882
0.0,0.5475113122171946,0.01906412478336217,0.6666666666666666,0.25,0.053825164219763466,0.0,0.39316239316239315,0.25,0.0,0.0,0.9551282051282052,0.980741578830053,0.0,0.9001280409731114
0.5,0.9819004524886877,0.24137931034482762,0.6666666666666666,0.4375,0.30261200546163103,0.0,0.39316239316239315,0.65,0.0,0.4270174998302245,0.9974358974358974,0.9141015727822612,0.0,0.9974391805377721
0.0,0.9457013574660633,0.01906412478336217,0.6666666666666666,0.3125,0.05382516415982508,0.0,0.39316239316239315,0.4,0.0,0.0,0.982051282051282,0.938219107305858,0.0,0.9923175416133163
0.3,0.0,0.01906412478336217,0.6666666666666666,0.25,0.053826260061097475,0.0,0.39316239316239315,0.75,0.3333333333333333,0.529612336622294,1.0,0.9337457520422409,0.012987012987012988,0.9564660691421255
0.0,0.5475113122171946,0.01906412478336217,0.6666666666666666,0.25,0.05382516582775321,0.0,0.39316239316239315,0.45,0.0,0.08295098901870934,0.9307692307692308,0.9355300726835412,0.0,0.8425096030729834
0.1,0.6968325791855203,0.01906412478336217,0.6666666666666666,0.75,0.0538280309732766,0.0,0.39316239316239315,0.5,0.0,0.3984091509171014,0.9923076923076923,0.9665541511965644,0.0,0.9628681177976952
0.2,0.9773755656108597,0.2222222222222222,1.0,0.375,0.054060078434147174,0.0,0.39316239316239315,0.85,0.0,0.37220361993889783,0.9961538461538462,0.813004969193414,0.0,0.9897567221510883
0.0,0.0,0.01906412478336217,0.6666666666666666,0.25,0.0538251670136205,0.0,0.39316239316239315,0.6,0.0,0.0,0.9012820512820513,0.7649444687930335,0.0,0.9654289372599232
0.8,0.9773755656108597,0.7586206896551724,0.6666666666666666,0.375,0.6973809989815327,0.9014084507042254,0.94017094017094,0.65,1.0,0.6172981336266732,1.0,0.9426742136022227,0.0076824583866837385,1.0
0.0,0.8868778280542986,0.2222222222222222,1.0,0.375,0.05382636178528877,0.0,0.39316239316239315,0.7,0.0,0.28252396689449244,0.9423076923076923,0.8013180833608999,0.0,0.9436619718309859
0.4,0.9638009049773756,0.24137931034482762,0.6666666666666666,0.5625,0.24885406276672017,0.0,0.39316239316239315,0.7,0.0,0.41992556975081874,0.9948717948717949,0.8948225987209818,0.0,0.9935979513444302
0.1,0.9773755656108597,0.01906412478336217,0.6666666666666666,0.375,0.05382516416719629,0.0,0.39316239316239315,0.15,0.0,0.10755026915030164,0.9935897435897436,0.9406113746830299,0.0,0.9551856594110115
0.0,0.0,0.01906412478336217,0.6666666666666666,0.25,0.0538251641845936,0.0,0.39316239316239315,0.5,0.0,0.0,0.9846153846153847,0.9621938388081237,0.0,0.9206145966709347
