kDN,DS,DCP,TD_P,TD_U,CL,MV,CB,F1,N1,N2,LSC,LSR,H,U
0.0,0.0,0.01941747572815533,0.6666666666666666,0.3333333333333333,0.05480274456741496,0.0,0.5045351473922902,0.4,0.0,0.3468129175175695,0.9678899082568807,0.5638854118393322,0.0,0.9931350114416476
0.0,0.0,0.01941747572815533,0.6666666666666666,0.3333333333333333,0.05480274456741496,0.0,0.5045351473922902,0.65,0.0,0.012818873523047447,0.8188073394495413,0.8718451593591335,0.0,0.8215102974828375
0.0,0.0,0.01941747572815533,0.6666666666666666,0.3333333333333333,0.4244768872600715,0.0,0.5045351473922902,0.6,0.0,0.008070745430720283,0.9013761467889908,0.9249389843800249,0.0,0.7620137299771167
0.2,0.8333333333333334,0.15172413793103445,0.6666666666666666,0.3333333333333333,0.4245251497031468,0.0,0.5045351473922902,0.55,0.0,0.0,0.9954128440366973,0.9929699593396738,0.0,0.9954233409610984
0.0,0.8529411764705882,0.02941176470588236,0.6666666666666666,0.25,0.5754748502520566,0.6544622425629291,0.828798185941043,0.4,1.0,0.0,0.9066666666666666,0.9912972763211781,0.0,0.8940397350993378
0.2,0.7794117647058824,0.02941176470588236,0.6666666666666666,0.4166666666666667,0.5754748502517472,0.6544622425629291,0.828798185941043,0.4,0.0,0.0,0.96,0.9763467740798154,0.0,0.9735099337748344
0.0,0.0,0.01941747572815533,0.6666666666666666,0.3333333333333333,0.05480274456741496,0.0,0.5045351473922902,0.65,0.0,0.39492772352311223,0.9518348623853211,0.757345681881802,0.0,0.9496567505720824
0.0,0.8529411764705882,0.02941176470588236,0.6666666666666666,0.25,0.5754748501659769,0.6544622425629291,0.828798185941043,0.3,0.0,0.0,0.92,0.9852351687497233,0.0,0.9139072847682119
0.0,0.0,0.01941747572815533,0.6666666666666666,0.3333333333333333,0.4244918863256636,0.0,0.5045351473922902,0.6,0.0,0.0,0.9174311926605505,0.943182015292936,0.0,0.7643020594965675
0.2,0.6715686274509804,0.01941747572815533,0.6666666666666666,0.5,0.4243695860336152,0.0,0.5045351473922902,0.65,0.0,0.44833304946326114,0.9954128440366973,0.9447775669472757,0.0,0.9862700228832952
0.1,0.0,0.01941747572815533,0.6666666666666666,0.3333333333333333,0.3940688130703386,0.0,0.5045351473922902,0.7,0.0,0.3300011794017982,0.9862385321100917,0.9293356083843698,0.0,0.9816933638443935
0.0,0.8333333333333334,0.15172413793103445,0.6666666666666666,0.3333333333333333,0.4245251496630251,0.0,0.5045351473922902,0.55,0.0,0.0,0.9747706422018348,0.9930733616984186,0.0,0.9725400457665904
0.0,0.0,0.01941747572815533,0.6666666666666666,0.3333333333333333,0.05480274456741496,0.0,0.5045351473922902,0.6,0.0,0.0,0.8302752293577982,0.9007480258664284,0.0,0.7780320366132722
0.0,0.0,0.01941747572815533,0.6666666666666666,0.3333333333333333,0.4244878759247557,0.0,0.5045351473922902,0.65,0.0,0.014903995449387364,0.944954128440367,0.9556640400639083,0.0,0.7757437070938216
0.2,0.7794117647058824,0.02941176470588236,0.6666666666666666,0.4166666666666667,0.5754748503715156,0.6544622425629291,0.828798185941043,0.4,0.0,0.21848888119164844,0.9533333333333334,0.9543475046686384,0.0,0.9602649006622517
0.2,0.7794117647058824,0.02941176470588236,0.6666666666666666,0.4166666666666667,0.5754748501524,0.6544622425629291,0.828798185941043,0.35,0.0,0.25835125917948787,0.9933333333333333,0.9743510104585847,0.0,0.9933774834437086
0.0,0.0,0.01941747572815533,0.6666666666666666,0.3333333333333333,0.05480274456741496,0.0,0.5045351473922902,0.8,0.0,0.26378441156467813,0.9426605504587156,0.7927810238088171,0.0,0.8993135011441648
0.5,0.9313725490196079,0.1428571428571429,1.0,0.4166666666666667,0.5754818953184907,0.6544622425629291,0.828798185941043,0.25,0.2,0.01721835920912429,0.9733333333333334,0.9803393668008834,0.002288329519450801,0.9735099337748344
0.0,0.6715686274509804,0.01941747572815533,0.6666666666666666,0.5,0.05480274456741496,0.0,0.5045351473922902,0.75,0.0,0.10433968727438891,0.9243119266055045,0.7964129923553548,0.0,0.8947368421052632
0.0,0.8529411764705882,0.02941176470588236,0.6666666666666666,0.25,0.5754748502520566,0.6544622425629291,0.828798185941043,0.4,1.0,0.0,0.9066666666666666,0.9912972763211781,0.0,0.8940397350993378
0.6,0.9705882352941176,0.15172413793103445,0.6666666666666666,0.75,0.4245251494982777,0.0,0.5045351473922902,0.55,0.3333333333333333,0.3858345221507663,0.9954128440366973,0.9870224410720864,0.013245033112582781,0.9977116704805492
0.0,0.0,0.01941747572815533,0.6666666666666666,0.3333333333333333,0.05480274456741496,0.0,0.5045351473922902,0.75,0.0,0.3544752517608152,0.9495412844036697,0.5376117506966751,0.0,0.9679633867276888
0.0,0.8333333333333334,0.15172413793103445,0.6666666666666666,0.3333333333333333,0.4245251496630251,0.0,0.5045351473922902,0.55,0.0,0.0,0.9747706422018348,0.9930733616984186,0.0,0.9725400457665904
0.0,0.0,0.01941747572815533,0.6666666666666666,0.3333333333333333,0.05480274456741496,0.0,0.5045351473922902,0.6,0.0,0.0,0.8302752293577982,0.9007480258664284,0.0,0.7780320366132722
0.0,0.8529411764705882,0.02941176470588236,0.6666666666666666,0.25,0.5754748502520566,0.6544622425629291,0.828798185941043,0.4,1.0,0.0,0.9066666666666666,0.9912972763211781,0.0,0.8940397350993378
0.7,0.7794117647058824,0.02941176470588236,0.6666666666666666,0.4166666666666667,0.5754748507413352,0.6544622425629291,0.828798185941043,0.45,0.75,0.5017098750470503,1.0,0.9278067104139052,0.011441647597254004,0.9867549668874173
0.4,0.9901960784313726,0.8571428571428572,1.0,0.4166666666666667,0.42452496559426645,0.0,0.5045351473922902,0.5,0.0,0.43610655449839886,0.9908256880733946,0.9003240649475113,0.0,0.9931350114416476
0.2,0.7794117647058824,0.02941176470588236,0.6666666666666666,0.4166666666666667,0.5754748501558973,0.6544622425629291,0.828798185941043,0.35,0.6666666666666666,0.0,0.9933333333333333,0.9915247099825952,0.002288329519450801,0.9933774834437086
0.1,0.9068627450980392,0.15172413793103445,0.6666666666666666,0.75,0.05480275634092102,0.0,0.5045351473922902,0.5,0.0,0.48429920932662474,0.9954128440366973,0.9107537745934057,0.0,0.9977116704805492
0.0,0.0,0.01941747572815533,0.6666666666666666,0.3333333333333333,0.05480274456741496,0.0,0.5045351473922902,0.6,0.0,0.08092015571974032,0.7752293577981652,0.8336962997093563,0.0,0.8100686498855836
0.2,0.7794117647058824,0.02941176470588236,0.6666666666666666,0.4166666666666667,0.5754748501529158,0.6544622425629291,0.828798185941043,0.35,0.6666666666666666,0.34834719586210694,0.9933333333333333,0.9834169371469422,0.002288329519450801,0.9933774834437086
0.1,0.0,0.01941747572815533,0.6666666666666666,0.3333333333333333,0.05480274456741496,0.0,0.5045351473922902,0.75,0.0,0.35223288582264134,0.9839449541284404,0.6950226931461418,0.0,0.9679633867276888
0.0,0.0,0.01941747572815533,0.6666666666666666,0.3333333333333333,0.05480274456741496,0.0,0.5045351473922902,0.7,0.0,0.2883073053386821,0.8142201834862386,0.466958256579613,0.0,0.9565217391304348
0.0,0.8333333333333334,0.15172413793103445,0.6666666666666666,0.3333333333333333,0.4245251496630251,0.0,0.5045351473922902,0.55,0.0,0.0,0.9747706422018348,0.9930733616984186,0.006622516556291391,0.9725400457665904
0.0,0.0,0.01941747572815533,0.6666666666666666,0.3333333333333333,0.05480274456741496,0.0,0.5045351473922902,0.85,0.0,0.08783824157559317,0.9013761467889908,0.7604329986794327,0.0,0.931350114416476
0.2,0.6715686274509804,0.01941747572815533,0.6666666666666666,0.5,0.05895615994307957,0.0,0.5045351473922902,0.6,0.0,0.42617983186529773,0.9908256880733946,0.921629271889081,0.006622516556291391,0.9610983981693364
0.0,0.0,0.01941747572815533,0.6666666666666666,0.3333333333333333,0.05480274456741496,0.0,0.5045351473922902,0.6,0.0,0.0,0.8302752293577982,0.9007480258664284,0.0,0.7780320366132722
0.2,0.9558823529411765,0.15172413793103445,0.6666666666666666,0.9166666666666666,0.05480274456741496,0.0,0.5045351473922902,0.55,0.0,0.3175209366398073,0.9977064220183486,0.9172458701076479,0.0,0.9931350114416476
0.0,0.6715686274509804,0.01941747572815533,0.6666666666666666,0.5,0.05480274456741496,0.0,0.5045351473922902,0.7,0.0,0.13179973797228595,0.8188073394495413,0.7172142097300382,0.0,0.931350114416476
