,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,0.455,0.573,0.546,0.251,-0.152,0.41,0.167,0.167,0.378,0.415,0.416,0.468,0.13,0.359,0.554
1,0.445,0.474,0.474,0.17,-0.107,0.375,0.194,0.237,0.314,0.427,0.442,0.442,0.064,0.378,0.505
2,0.337,0.315,0.279,0.109,-0.088,0.374,0.419,0.195,0.187,0.316,0.206,0.172,-0.015,0.339,0.192
3,0.55,0.54,0.579,0.204,-0.136,0.49,0.338,0.376,0.37,0.472,0.534,0.526,0.101,0.43,0.571
4,0.377,0.435,0.364,0.093,-0.097,0.296,0.199,0.109,0.237,0.335,0.279,0.291,-0.036,0.324,0.369
5,-0.042,0.133,0.083,0.034,0.019,-0.041,-0.226,-0.181,0.028,0.002,0.039,0.09,0.079,-0.04,0.154
6,0.372,0.443,0.398,0.138,-0.093,0.28,0.109,0.107,0.272,0.331,0.308,0.328,-0.027,0.301,0.411
7,0.474,0.501,0.52,0.168,-0.123,0.399,0.189,0.255,0.327,0.406,0.432,0.436,0.002,0.372,0.488
8,0.27,0.372,0.316,0.154,-0.063,0.143,-0.009,-0.039,0.256,0.223,0.229,0.244,-0.029,0.185,0.291
9,0.531,0.507,0.538,0.197,-0.125,0.459,0.319,0.349,0.324,0.475,0.503,0.499,0.122,0.441,0.527
10,-0.126,0.052,0.065,0.171,-0.115,-0.046,-0.403,-0.202,0.135,-0.095,-0.064,0.092,0.265,-0.159,0.148
11,0.445,0.47,0.485,0.158,-0.12,0.387,0.231,0.248,0.293,0.405,0.385,0.385,-0.014,0.373,0.454
