,kDN,DS,DCP,TD_P,TD_U,CL,MV,CB,F1,N1,N2,LSC,LSR,H,U,Lin
0,0.736,0.663,0.768,0.154,0.168,0.695,0.422,0.451,0.162,0.599,0.584,0.637,0.575,0.54,0.635,0.854
1,0.664,0.563,0.627,0.099,0.187,0.554,0.367,0.388,0.13,0.562,0.59,0.59,0.423,0.506,0.573,0.731
2,0.44,0.39,0.51,0.23,0.08,0.567,0.183,0.212,0.2,0.362,0.295,0.388,0.699,0.315,0.38,0.772
3,0.734,0.648,0.713,0.126,0.18,0.647,0.512,0.533,0.252,0.607,0.65,0.657,0.408,0.531,0.654,0.783
4,0.513,0.474,0.551,0.037,0.242,0.464,0.176,0.185,-0.042,0.401,0.344,0.405,0.493,0.41,0.407,0.737
5,0.491,0.454,0.521,0.158,-0.009,0.468,0.391,0.412,0.278,0.389,0.41,0.466,0.356,0.296,0.484,0.554
6,0.558,0.479,0.582,0.011,0.198,0.46,0.21,0.231,-0.035,0.437,0.407,0.43,0.423,0.445,0.437,0.704
7,0.661,0.568,0.675,0.01,0.195,0.566,0.374,0.397,0.055,0.526,0.543,0.53,0.365,0.523,0.531,0.731
8,0.439,0.371,0.492,0.002,0.141,0.339,0.105,0.117,-0.069,0.34,0.309,0.328,0.382,0.32,0.325,0.641
9,0.724,0.624,0.693,0.105,0.196,0.635,0.483,0.498,0.185,0.603,0.632,0.629,0.419,0.53,0.631,0.77
10,0.292,0.287,0.314,0.096,-0.02,0.29,0.277,0.308,0.028,0.226,0.258,0.27,0.034,0.208,0.285,0.46
11,0.611,0.535,0.631,0.062,0.148,0.524,0.34,0.361,0.023,0.491,0.485,0.484,0.375,0.476,0.487,0.689
